"","mo_organism","get(par_var_name)","ab_class","n","r","total_R","ab_name","var_name"
"1","Staphylococcus aureus","<1","Aminoglycosides",30,6,0.2,"Aminoglycosides","<1"
"2","Staphylococcus aureus","<1","Beta-lactams/penicillins",24,24,1,"Beta-lactams/penicillins","<1"
"3","Staphylococcus aureus","<1","Cephalosporins (2nd gen.)",35,14,0.4,"Cephalosporins (2nd gen.)","<1"
"4","Staphylococcus aureus","<1","Quinolones",22,6,0.272727272727273,"Quinolones","<1"
"5","Staphylococcus aureus","<1","Trimethoprims",23,18,0.782608695652174,"Trimethoprims","<1"
"6","Staphylococcus aureus","1-4","Aminoglycosides",50,10,0.2,"Aminoglycosides","1-4"
"7","Staphylococcus aureus","1-4","Beta-lactams/penicillins",46,45,0.978260869565217,"Beta-lactams/penicillins","1-4"
"8","Staphylococcus aureus","1-4","Cephalosporins (2nd gen.)",61,31,0.508196721311475,"Cephalosporins (2nd gen.)","1-4"
"9","Staphylococcus aureus","1-4","Quinolones",23,7,0.304347826086957,"Quinolones","1-4"
"10","Staphylococcus aureus","1-4","Trimethoprims",34,26,0.764705882352941,"Trimethoprims","1-4"
"11","Staphylococcus aureus","5-19","Aminoglycosides",18,5,0.277777777777778,"Aminoglycosides","5-19"
"12","Staphylococcus aureus","5-19","Beta-lactams/penicillins",17,17,1,"Beta-lactams/penicillins","5-19"
"13","Staphylococcus aureus","5-19","Cephalosporins (2nd gen.)",22,11,0.5,"Cephalosporins (2nd gen.)","5-19"
"14","Staphylococcus aureus","5-19","Quinolones",9,1,0.111111111111111,"Quinolones","5-19"
"15","Staphylococcus aureus","5-19","Trimethoprims",10,4,0.4,"Trimethoprims","5-19"
"16","Staphylococcus aureus","20-49","Aminoglycosides",29,7,0.241379310344828,"Aminoglycosides","20-49"
"17","Staphylococcus aureus","20-49","Beta-lactams/penicillins",22,21,0.954545454545455,"Beta-lactams/penicillins","20-49"
"18","Staphylococcus aureus","20-49","Cephalosporins (2nd gen.)",34,23,0.676470588235294,"Cephalosporins (2nd gen.)","20-49"
"19","Staphylococcus aureus","20-49","Quinolones",20,8,0.4,"Quinolones","20-49"
"20","Staphylococcus aureus","20-49","Trimethoprims",21,14,0.666666666666667,"Trimethoprims","20-49"
"21","Staphylococcus aureus","50-64","Aminoglycosides",24,4,0.166666666666667,"Aminoglycosides","50-64"
"22","Staphylococcus aureus","50-64","Beta-lactams/penicillins",20,18,0.9,"Beta-lactams/penicillins","50-64"
"23","Staphylococcus aureus","50-64","Cephalosporins (2nd gen.)",29,10,0.344827586206897,"Cephalosporins (2nd gen.)","50-64"
"24","Staphylococcus aureus","50-64","Quinolones",7,2,0.285714285714286,"Quinolones","50-64"
"25","Staphylococcus aureus","50-64","Trimethoprims",15,10,0.666666666666667,"Trimethoprims","50-64"
"26","Staphylococcus aureus","65+","Aminoglycosides",12,4,0.333333333333333,"Aminoglycosides","65+"
"27","Staphylococcus aureus","65+","Beta-lactams/penicillins",11,11,1,"Beta-lactams/penicillins","65+"
"28","Staphylococcus aureus","65+","Cephalosporins (2nd gen.)",16,12,0.75,"Cephalosporins (2nd gen.)","65+"
"29","Staphylococcus aureus","65+","Quinolones",8,5,0.625,"Quinolones","65+"
"30","Staphylococcus aureus","65+","Trimethoprims",8,5,0.625,"Trimethoprims","65+"
"31","Staphylococcus aureus",NA,"Aminoglycosides",1,0,0,"Aminoglycosides",NA
"32","Staphylococcus aureus",NA,"Cephalosporins (2nd gen.)",1,1,1,"Cephalosporins (2nd gen.)",NA
