"","mo_organism","get(par_var_name)","ab_class","n","r","total_R","ab_name","var_name"
"1","Escherichia coli","<1","Aminoglycosides",13,4,0.307692307692308,"Aminoglycosides","<1"
"2","Escherichia coli","<1","Beta-lactams/penicillins",4,3,0.75,"Beta-lactams/penicillins","<1"
"3","Escherichia coli","<1","Carbapenems",12,0,0,"Carbapenems","<1"
"4","Escherichia coli","<1","Cephalosporins (3rd gen.)",12,5,0.416666666666667,"Cephalosporins (3rd gen.)","<1"
"5","Escherichia coli","<1","Quinolones",4,1,0.25,"Quinolones","<1"
"6","Escherichia coli","<1","Trimethoprims",7,6,0.857142857142857,"Trimethoprims","<1"
"7","Escherichia coli","1-4","Aminoglycosides",50,12,0.24,"Aminoglycosides","1-4"
"8","Escherichia coli","1-4","Beta-lactams/penicillins",5,4,0.8,"Beta-lactams/penicillins","1-4"
"9","Escherichia coli","1-4","Carbapenems",48,0,0,"Carbapenems","1-4"
"10","Escherichia coli","1-4","Cephalosporins (3rd gen.)",55,19,0.345454545454545,"Cephalosporins (3rd gen.)","1-4"
"11","Escherichia coli","1-4","Quinolones",22,8,0.363636363636364,"Quinolones","1-4"
"12","Escherichia coli","1-4","Trimethoprims",16,14,0.875,"Trimethoprims","1-4"
"13","Escherichia coli","5-19","Aminoglycosides",33,6,0.181818181818182,"Aminoglycosides","5-19"
"14","Escherichia coli","5-19","Beta-lactams/penicillins",5,4,0.8,"Beta-lactams/penicillins","5-19"
"15","Escherichia coli","5-19","Carbapenems",33,3,0.0909090909090909,"Carbapenems","5-19"
"16","Escherichia coli","5-19","Cephalosporins (3rd gen.)",38,17,0.447368421052632,"Cephalosporins (3rd gen.)","5-19"
"17","Escherichia coli","5-19","Quinolones",12,2,0.166666666666667,"Quinolones","5-19"
"18","Escherichia coli","5-19","Trimethoprims",16,11,0.6875,"Trimethoprims","5-19"
"19","Escherichia coli","20-49","Aminoglycosides",36,13,0.361111111111111,"Aminoglycosides","20-49"
"20","Escherichia coli","20-49","Beta-lactams/penicillins",1,1,1,"Beta-lactams/penicillins","20-49"
"21","Escherichia coli","20-49","Carbapenems",41,0,0,"Carbapenems","20-49"
"22","Escherichia coli","20-49","Cephalosporins (3rd gen.)",42,19,0.452380952380952,"Cephalosporins (3rd gen.)","20-49"
"23","Escherichia coli","20-49","Quinolones",16,8,0.5,"Quinolones","20-49"
"24","Escherichia coli","20-49","Trimethoprims",11,8,0.727272727272727,"Trimethoprims","20-49"
"25","Escherichia coli","50-64","Aminoglycosides",19,9,0.473684210526316,"Aminoglycosides","50-64"
"26","Escherichia coli","50-64","Beta-lactams/penicillins",3,1,0.333333333333333,"Beta-lactams/penicillins","50-64"
"27","Escherichia coli","50-64","Carbapenems",19,0,0,"Carbapenems","50-64"
"28","Escherichia coli","50-64","Cephalosporins (3rd gen.)",22,12,0.545454545454545,"Cephalosporins (3rd gen.)","50-64"
"29","Escherichia coli","50-64","Quinolones",9,6,0.666666666666667,"Quinolones","50-64"
"30","Escherichia coli","50-64","Trimethoprims",6,4,0.666666666666667,"Trimethoprims","50-64"
"31","Escherichia coli","65+","Aminoglycosides",19,8,0.421052631578947,"Aminoglycosides","65+"
"32","Escherichia coli","65+","Beta-lactams/penicillins",2,2,1,"Beta-lactams/penicillins","65+"
"33","Escherichia coli","65+","Carbapenems",19,0,0,"Carbapenems","65+"
"34","Escherichia coli","65+","Cephalosporins (3rd gen.)",20,11,0.55,"Cephalosporins (3rd gen.)","65+"
"35","Escherichia coli","65+","Quinolones",10,6,0.6,"Quinolones","65+"
"36","Escherichia coli","65+","Trimethoprims",8,7,0.875,"Trimethoprims","65+"
"37","Escherichia coli",NA,"Aminoglycosides",4,3,0.75,"Aminoglycosides",NA
"38","Escherichia coli",NA,"Carbapenems",4,1,0.25,"Carbapenems",NA
"39","Escherichia coli",NA,"Cephalosporins (3rd gen.)",4,3,0.75,"Cephalosporins (3rd gen.)",NA
"40","Escherichia coli",NA,"Trimethoprims",2,2,1,"Trimethoprims",NA
