"","mo_organism","get(par_var_name)","ab","n","r","total_R","ab_name","var_name"
"1","Staphylococcus aureus","<1","CIP",44,12,0.272727272727273,"Ciprofloxacin","<1"
"2","Staphylococcus aureus","<1","GEN",30,6,0.2,"Gentamicin","<1"
"3","Staphylococcus aureus","<1","SXT",23,18,0.782608695652174,"Trimethoprim/sulfamethoxazole","<1"
"4","Staphylococcus aureus","1-4","CIP",46,14,0.304347826086957,"Ciprofloxacin","1-4"
"5","Staphylococcus aureus","1-4","GEN",50,10,0.2,"Gentamicin","1-4"
"6","Staphylococcus aureus","1-4","SXT",35,27,0.771428571428571,"Trimethoprim/sulfamethoxazole","1-4"
"7","Staphylococcus aureus","5-19","CIP",18,2,0.111111111111111,"Ciprofloxacin","5-19"
"8","Staphylococcus aureus","5-19","GEN",19,5,0.263157894736842,"Gentamicin","5-19"
"9","Staphylococcus aureus","5-19","SXT",10,4,0.4,"Trimethoprim/sulfamethoxazole","5-19"
"10","Staphylococcus aureus","20-49","CIP",40,16,0.4,"Ciprofloxacin","20-49"
"11","Staphylococcus aureus","20-49","GEN",29,7,0.241379310344828,"Gentamicin","20-49"
"12","Staphylococcus aureus","20-49","SXT",21,14,0.666666666666667,"Trimethoprim/sulfamethoxazole","20-49"
"13","Staphylococcus aureus","50-64","CIP",14,4,0.285714285714286,"Ciprofloxacin","50-64"
"14","Staphylococcus aureus","50-64","GEN",24,4,0.166666666666667,"Gentamicin","50-64"
"15","Staphylococcus aureus","50-64","SXT",15,10,0.666666666666667,"Trimethoprim/sulfamethoxazole","50-64"
"16","Staphylococcus aureus","65+","CIP",16,10,0.625,"Ciprofloxacin","65+"
"17","Staphylococcus aureus","65+","GEN",12,4,0.333333333333333,"Gentamicin","65+"
"18","Staphylococcus aureus","65+","SXT",8,5,0.625,"Trimethoprim/sulfamethoxazole","65+"
"19","Staphylococcus aureus",NA,"GEN",1,0,0,"Gentamicin",NA
