"","mo_organism","get(par_var_name)","ab","n","r","total_R","ab_name","var_name"
"1","Acinetobacter baumannii","5-19","CAZ",2,0,0,"Ceftazidime","5-19"
"2","Acinetobacter baumannii","5-19","CIP",2,0,0,"Ciprofloxacin","5-19"
"3","Acinetobacter baumannii","5-19","GEN",1,0,0,"Gentamicin","5-19"
"4","Acinetobacter baumannii","5-19","MEM",2,0,0,"Meropenem","5-19"
"5","Acinetobacter baumannii","20-49","CAZ",2,0,0,"Ceftazidime","20-49"
"6","Acinetobacter baumannii","20-49","GEN",1,0,0,"Gentamicin","20-49"
"7","Acinetobacter baumannii","20-49","MEM",2,0,0,"Meropenem","20-49"
"8","Acinetobacter baumannii","50-64","CAZ",2,2,1,"Ceftazidime","50-64"
"9","Acinetobacter baumannii","50-64","GEN",1,1,1,"Gentamicin","50-64"
"10","Acinetobacter baumannii","50-64","IPM",2,2,1,"Imipenem","50-64"
"11","Acinetobacter baumannii","50-64","SXT",1,0,0,"Trimethoprim/sulfamethoxazole","50-64"
