"","mo_organism","get(par_var_name)","ab_class","n","r","total_R","ab_name","var_name"
"1","Acinetobacter baumannii","5-19","Aminoglycosides",1,0,0,"Aminoglycosides","5-19"
"2","Acinetobacter baumannii","5-19","Carbapenems",1,0,0,"Carbapenems","5-19"
"3","Acinetobacter baumannii","5-19","Cephalosporins (3rd gen.)",1,0,0,"Cephalosporins (3rd gen.)","5-19"
"4","Acinetobacter baumannii","5-19","Quinolones",1,0,0,"Quinolones","5-19"
"5","Acinetobacter baumannii","20-49","Aminoglycosides",1,0,0,"Aminoglycosides","20-49"
"6","Acinetobacter baumannii","20-49","Carbapenems",1,0,0,"Carbapenems","20-49"
"7","Acinetobacter baumannii","20-49","Cephalosporins (3rd gen.)",1,0,0,"Cephalosporins (3rd gen.)","20-49"
"8","Acinetobacter baumannii","50-64","Aminoglycosides",1,1,1,"Aminoglycosides","50-64"
"9","Acinetobacter baumannii","50-64","Carbapenems",1,1,1,"Carbapenems","50-64"
"10","Acinetobacter baumannii","50-64","Cephalosporins (3rd gen.)",1,1,1,"Cephalosporins (3rd gen.)","50-64"
"11","Acinetobacter baumannii","50-64","Trimethoprims",1,0,0,"Trimethoprims","50-64"
