"","mo_organism","get(par_var_name)","ab","n","r","total_R","ab_name","var_name"
"1","Citrobacter","1-4","CAZ",2,0,0,"Ceftazidime","1-4"
"2","Citrobacter","1-4","CIP",2,0,0,"Ciprofloxacin","1-4"
"3","Citrobacter","1-4","CRO",2,0,0,"Ceftriaxone","1-4"
"4","Citrobacter","1-4","GEN",1,0,0,"Gentamicin","1-4"
"5","Citrobacter","1-4","MEM",2,0,0,"Meropenem","1-4"
"6","Citrobacter","5-19","CAZ",2,0,0,"Ceftazidime","5-19"
"7","Citrobacter","5-19","CIP",2,0,0,"Ciprofloxacin","5-19"
"8","Citrobacter","5-19","CRO",2,0,0,"Ceftriaxone","5-19"
"9","Citrobacter","5-19","GEN",1,0,0,"Gentamicin","5-19"
"10","Citrobacter","5-19","MEM",2,0,0,"Meropenem","5-19"
"11","Citrobacter","20-49","CAZ",2,0,0,"Ceftazidime","20-49"
"12","Citrobacter","20-49","CIP",2,0,0,"Ciprofloxacin","20-49"
"13","Citrobacter","20-49","CRO",2,2,1,"Ceftriaxone","20-49"
"14","Citrobacter","20-49","GEN",1,0,0,"Gentamicin","20-49"
"15","Citrobacter","20-49","MEM",2,0,0,"Meropenem","20-49"
