"","mo_organism","get(par_var_name)","ab_class","n","r","total_R","ab_name","var_name"
"1","Citrobacter","1-4","Aminoglycosides",1,0,0,"Aminoglycosides","1-4"
"2","Citrobacter","1-4","Carbapenems",1,0,0,"Carbapenems","1-4"
"3","Citrobacter","1-4","Cephalosporins (3rd gen.)",1,0,0,"Cephalosporins (3rd gen.)","1-4"
"4","Citrobacter","1-4","Quinolones",1,0,0,"Quinolones","1-4"
"5","Citrobacter","5-19","Aminoglycosides",1,0,0,"Aminoglycosides","5-19"
"6","Citrobacter","5-19","Carbapenems",1,0,0,"Carbapenems","5-19"
"7","Citrobacter","5-19","Cephalosporins (3rd gen.)",1,0,0,"Cephalosporins (3rd gen.)","5-19"
"8","Citrobacter","5-19","Quinolones",1,0,0,"Quinolones","5-19"
"9","Citrobacter","20-49","Aminoglycosides",1,0,0,"Aminoglycosides","20-49"
"10","Citrobacter","20-49","Carbapenems",1,0,0,"Carbapenems","20-49"
"11","Citrobacter","20-49","Cephalosporins (3rd gen.)",1,1,1,"Cephalosporins (3rd gen.)","20-49"
"12","Citrobacter","20-49","Quinolones",1,0,0,"Quinolones","20-49"
