"","mo_organism","get(par_var_name)","ab","n","r","total_R","ab_name","var_name"
"1","Citrobacter","1-4","CAZ",4,0,0,"Ceftazidime","1-4"
"2","Citrobacter","1-4","CIP",4,0,0,"Ciprofloxacin","1-4"
"3","Citrobacter","1-4","CRO",4,0,0,"Ceftriaxone","1-4"
"4","Citrobacter","1-4","GEN",1,0,0,"Gentamicin","1-4"
"5","Citrobacter","1-4","MEM",4,0,0,"Meropenem","1-4"
"6","Citrobacter","5-19","CAZ",2,0,0,"Ceftazidime","5-19"
"7","Citrobacter","5-19","CIP",2,0,0,"Ciprofloxacin","5-19"
"8","Citrobacter","5-19","CRO",2,0,0,"Ceftriaxone","5-19"
"9","Citrobacter","5-19","GEN",1,0,0,"Gentamicin","5-19"
"10","Citrobacter","5-19","MEM",2,0,0,"Meropenem","5-19"
"11","Citrobacter","20-49","CAZ",2,0,0,"Ceftazidime","20-49"
"12","Citrobacter","20-49","CIP",2,0,0,"Ciprofloxacin","20-49"
"13","Citrobacter","20-49","CRO",2,2,1,"Ceftriaxone","20-49"
"14","Citrobacter","20-49","GEN",1,0,0,"Gentamicin","20-49"
"15","Citrobacter","20-49","MEM",2,0,0,"Meropenem","20-49"
"16","Citrobacter","50-64","CAZ",2,2,1,"Ceftazidime","50-64"
"17","Citrobacter","50-64","CIP",2,2,1,"Ciprofloxacin","50-64"
"18","Citrobacter","50-64","CRO",2,2,1,"Ceftriaxone","50-64"
"19","Citrobacter","50-64","GEN",1,1,1,"Gentamicin","50-64"
"20","Citrobacter","50-64","MEM",2,0,0,"Meropenem","50-64"
"21","Citrobacter","50-64","SXT",1,1,1,"Trimethoprim/sulfamethoxazole","50-64"
"22","Citrobacter","65+","CAZ",2,0,0,"Ceftazidime","65+"
"23","Citrobacter","65+","CIP",2,0,0,"Ciprofloxacin","65+"
"24","Citrobacter","65+","CRO",2,0,0,"Ceftriaxone","65+"
"25","Citrobacter","65+","GEN",1,0,0,"Gentamicin","65+"
"26","Citrobacter","65+","MEM",2,0,0,"Meropenem","65+"
"27","Citrobacter","65+","SXT",1,0,0,"Trimethoprim/sulfamethoxazole","65+"
"28","Citrobacter",NA,"CAZ",2,2,1,"Ceftazidime",NA
"29","Citrobacter",NA,"CRO",2,2,1,"Ceftriaxone",NA
"30","Citrobacter",NA,"GEN",1,1,1,"Gentamicin",NA
"31","Citrobacter",NA,"IPM",2,2,1,"Imipenem",NA
"32","Citrobacter",NA,"SXT",1,1,1,"Trimethoprim/sulfamethoxazole",NA
