"","mo_organism","get(par_var_name)","ab","n","r","total_R","ab_name","var_name"
"1","Citrobacter","f","CAZ",6,2,0.333333333333333,"Ceftazidime","f"
"2","Citrobacter","f","CIP",6,2,0.333333333333333,"Ciprofloxacin","f"
"3","Citrobacter","f","CRO",6,4,0.666666666666667,"Ceftriaxone","f"
"4","Citrobacter","f","GEN",2,1,0.5,"Gentamicin","f"
"5","Citrobacter","f","MEM",6,0,0,"Meropenem","f"
"6","Citrobacter","f","SXT",1,1,1,"Trimethoprim/sulfamethoxazole","f"
"7","Citrobacter","m","CAZ",8,2,0.25,"Ceftazidime","m"
"8","Citrobacter","m","CIP",6,0,0,"Ciprofloxacin","m"
"9","Citrobacter","m","CRO",8,2,0.25,"Ceftriaxone","m"
"10","Citrobacter","m","GEN",4,1,0.25,"Gentamicin","m"
"11","Citrobacter","m","IPM",2,2,1,"Imipenem","m"
"12","Citrobacter","m","MEM",6,0,0,"Meropenem","m"
"13","Citrobacter","m","SXT",2,1,0.5,"Trimethoprim/sulfamethoxazole","m"
