"","mo_organism","get(par_var_name)","ab_class","n","r","total_R","ab_name","var_name"
"1","Citrobacter","f","Aminoglycosides",2,1,0.5,"Aminoglycosides","f"
"2","Citrobacter","f","Carbapenems",3,0,0,"Carbapenems","f"
"3","Citrobacter","f","Cephalosporins (3rd gen.)",3,2,0.666666666666667,"Cephalosporins (3rd gen.)","f"
"4","Citrobacter","f","Quinolones",3,1,0.333333333333333,"Quinolones","f"
"5","Citrobacter","f","Trimethoprims",1,1,1,"Trimethoprims","f"
"6","Citrobacter","m","Aminoglycosides",4,1,0.25,"Aminoglycosides","m"
"7","Citrobacter","m","Carbapenems",4,1,0.25,"Carbapenems","m"
"8","Citrobacter","m","Cephalosporins (3rd gen.)",4,1,0.25,"Cephalosporins (3rd gen.)","m"
"9","Citrobacter","m","Quinolones",3,0,0,"Quinolones","m"
"10","Citrobacter","m","Trimethoprims",2,1,0.5,"Trimethoprims","m"
