"","mo_organism","get(par_var_name)","ab","n","r","total_R","ab_name","var_name"
"1","Enterobacter","<1","CRO",2,2,1,"Ceftriaxone","<1"
"2","Enterobacter","<1","CTX",2,2,1,"Cefotaxime","<1"
"3","Enterobacter","<1","GEN",1,1,1,"Gentamicin","<1"
"4","Enterobacter","<1","IPM",2,0,0,"Imipenem","<1"
"5","Enterobacter","1-4","AMP",2,2,1,"Ampicillin","1-4"
"6","Enterobacter","1-4","CAZ",8,4,0.5,"Ceftazidime","1-4"
"7","Enterobacter","1-4","CIP",6,2,0.333333333333333,"Ciprofloxacin","1-4"
"8","Enterobacter","1-4","CRO",10,6,0.6,"Ceftriaxone","1-4"
"9","Enterobacter","1-4","CTX",2,0,0,"Cefotaxime","1-4"
"10","Enterobacter","1-4","GEN",5,3,0.6,"Gentamicin","1-4"
"11","Enterobacter","1-4","IPM",2,0,0,"Imipenem","1-4"
"12","Enterobacter","1-4","MEM",6,0,0,"Meropenem","1-4"
"13","Enterobacter","1-4","SXT",2,2,1,"Trimethoprim/sulfamethoxazole","1-4"
"14","Enterobacter","5-19","CRO",2,2,1,"Ceftriaxone","5-19"
"15","Enterobacter","5-19","CTX",2,2,1,"Cefotaxime","5-19"
"16","Enterobacter","5-19","GEN",1,1,1,"Gentamicin","5-19"
"17","Enterobacter","5-19","IPM",2,0,0,"Imipenem","5-19"
"18","Enterobacter","20-49","CRO",2,2,1,"Ceftriaxone","20-49"
"19","Enterobacter","20-49","CTX",2,2,1,"Cefotaxime","20-49"
"20","Enterobacter","20-49","GEN",1,1,1,"Gentamicin","20-49"
"21","Enterobacter","20-49","IPM",2,2,1,"Imipenem","20-49"
"22","Enterobacter","50-64","CAZ",4,0,0,"Ceftazidime","50-64"
"23","Enterobacter","50-64","CIP",2,0,0,"Ciprofloxacin","50-64"
"24","Enterobacter","50-64","CRO",4,0,0,"Ceftriaxone","50-64"
"25","Enterobacter","50-64","GEN",2,0,0,"Gentamicin","50-64"
"26","Enterobacter","50-64","IPM",2,0,0,"Imipenem","50-64"
"27","Enterobacter","50-64","MEM",2,0,0,"Meropenem","50-64"
"28","Enterobacter","65+","CAZ",4,0,0,"Ceftazidime","65+"
"29","Enterobacter","65+","CRO",4,0,0,"Ceftriaxone","65+"
"30","Enterobacter","65+","CTX",2,0,0,"Cefotaxime","65+"
"31","Enterobacter","65+","GEN",2,1,0.5,"Gentamicin","65+"
"32","Enterobacter","65+","IPM",4,0,0,"Imipenem","65+"
"33","Enterobacter",NA,"CAZ",2,2,1,"Ceftazidime",NA
"34","Enterobacter",NA,"CRO",2,2,1,"Ceftriaxone",NA
"35","Enterobacter",NA,"GEN",1,1,1,"Gentamicin",NA
"36","Enterobacter",NA,"MEM",2,0,0,"Meropenem",NA
