"","mo_organism","get(par_var_name)","ab_class","n","r","total_R","ab_name","var_name"
"1","Enterobacter","<1","Aminoglycosides",1,1,1,"Aminoglycosides","<1"
"2","Enterobacter","<1","Carbapenems",1,0,0,"Carbapenems","<1"
"3","Enterobacter","<1","Cephalosporins (3rd gen.)",1,1,1,"Cephalosporins (3rd gen.)","<1"
"4","Enterobacter","1-4","Aminoglycosides",5,3,0.6,"Aminoglycosides","1-4"
"5","Enterobacter","1-4","Beta-lactams/penicillins",1,1,1,"Beta-lactams/penicillins","1-4"
"6","Enterobacter","1-4","Carbapenems",4,0,0,"Carbapenems","1-4"
"7","Enterobacter","1-4","Cephalosporins (3rd gen.)",5,3,0.6,"Cephalosporins (3rd gen.)","1-4"
"8","Enterobacter","1-4","Quinolones",3,1,0.333333333333333,"Quinolones","1-4"
"9","Enterobacter","1-4","Trimethoprims",2,2,1,"Trimethoprims","1-4"
"10","Enterobacter","5-19","Aminoglycosides",1,1,1,"Aminoglycosides","5-19"
"11","Enterobacter","5-19","Carbapenems",1,0,0,"Carbapenems","5-19"
"12","Enterobacter","5-19","Cephalosporins (3rd gen.)",1,1,1,"Cephalosporins (3rd gen.)","5-19"
"13","Enterobacter","20-49","Aminoglycosides",1,1,1,"Aminoglycosides","20-49"
"14","Enterobacter","20-49","Carbapenems",1,1,1,"Carbapenems","20-49"
"15","Enterobacter","20-49","Cephalosporins (3rd gen.)",1,1,1,"Cephalosporins (3rd gen.)","20-49"
"16","Enterobacter","50-64","Aminoglycosides",2,0,0,"Aminoglycosides","50-64"
"17","Enterobacter","50-64","Carbapenems",2,0,0,"Carbapenems","50-64"
"18","Enterobacter","50-64","Cephalosporins (3rd gen.)",2,0,0,"Cephalosporins (3rd gen.)","50-64"
"19","Enterobacter","50-64","Quinolones",1,0,0,"Quinolones","50-64"
"20","Enterobacter","65+","Aminoglycosides",2,1,0.5,"Aminoglycosides","65+"
"21","Enterobacter","65+","Carbapenems",2,0,0,"Carbapenems","65+"
"22","Enterobacter","65+","Cephalosporins (3rd gen.)",2,0,0,"Cephalosporins (3rd gen.)","65+"
"23","Enterobacter",NA,"Aminoglycosides",1,1,1,"Aminoglycosides",NA
"24","Enterobacter",NA,"Carbapenems",1,0,0,"Carbapenems",NA
"25","Enterobacter",NA,"Cephalosporins (3rd gen.)",1,1,1,"Cephalosporins (3rd gen.)",NA
