"","mo_organism","get(par_var_name)","ab","n","r","total_R","ab_name","var_name"
"1","Enterobacter","f","AMP",2,2,1,"Ampicillin","f"
"2","Enterobacter","f","CAZ",12,4,0.333333333333333,"Ceftazidime","f"
"3","Enterobacter","f","CIP",6,2,0.333333333333333,"Ciprofloxacin","f"
"4","Enterobacter","f","CRO",12,6,0.5,"Ceftriaxone","f"
"5","Enterobacter","f","GEN",6,3,0.5,"Gentamicin","f"
"6","Enterobacter","f","IPM",2,0,0,"Imipenem","f"
"7","Enterobacter","f","MEM",8,0,0,"Meropenem","f"
"8","Enterobacter","f","SXT",1,1,1,"Trimethoprim/sulfamethoxazole","f"
"9","Enterobacter","m","CAZ",6,2,0.333333333333333,"Ceftazidime","m"
"10","Enterobacter","m","CIP",2,0,0,"Ciprofloxacin","m"
"11","Enterobacter","m","CRO",14,8,0.571428571428571,"Ceftriaxone","m"
"12","Enterobacter","m","CTX",10,6,0.6,"Cefotaxime","m"
"13","Enterobacter","m","GEN",7,5,0.714285714285714,"Gentamicin","m"
"14","Enterobacter","m","IPM",12,2,0.166666666666667,"Imipenem","m"
"15","Enterobacter","m","MEM",2,0,0,"Meropenem","m"
"16","Enterobacter","m","SXT",1,1,1,"Trimethoprim/sulfamethoxazole","m"
