"","mo_organism","get(par_var_name)","ab_class","n","r","total_R","ab_name","var_name"
"1","Enterobacter","f","Aminoglycosides",6,3,0.5,"Aminoglycosides","f"
"2","Enterobacter","f","Beta-lactams/penicillins",1,1,1,"Beta-lactams/penicillins","f"
"3","Enterobacter","f","Carbapenems",6,0,0,"Carbapenems","f"
"4","Enterobacter","f","Cephalosporins (3rd gen.)",7,3,0.428571428571429,"Cephalosporins (3rd gen.)","f"
"5","Enterobacter","f","Quinolones",3,1,0.333333333333333,"Quinolones","f"
"6","Enterobacter","f","Trimethoprims",1,1,1,"Trimethoprims","f"
"7","Enterobacter","m","Aminoglycosides",9,5,0.555555555555556,"Aminoglycosides","m"
"8","Enterobacter","m","Carbapenems",10,1,0.1,"Carbapenems","m"
"9","Enterobacter","m","Cephalosporins (3rd gen.)",10,4,0.4,"Cephalosporins (3rd gen.)","m"
"10","Enterobacter","m","Quinolones",1,0,0,"Quinolones","m"
"11","Enterobacter","m","Trimethoprims",3,1,0.333333333333333,"Trimethoprims","m"
