"","mo_organism","get(par_var_name)","ab_class","n","r","total_R","ab_name","var_name"
"1","Klebsiella pneumoniae","f","Aminoglycosides",33,17,0.515151515151515,"Aminoglycosides","f"
"2","Klebsiella pneumoniae","f","Carbapenems",33,0,0,"Carbapenems","f"
"3","Klebsiella pneumoniae","f","Cephalosporins (3rd gen.)",36,23,0.638888888888889,"Cephalosporins (3rd gen.)","f"
"4","Klebsiella pneumoniae","f","Quinolones",9,3,0.333333333333333,"Quinolones","f"
"5","Klebsiella pneumoniae","f","Trimethoprims",13,12,0.923076923076923,"Trimethoprims","f"
"6","Klebsiella pneumoniae","m","Aminoglycosides",34,20,0.588235294117647,"Aminoglycosides","m"
"7","Klebsiella pneumoniae","m","Carbapenems",32,1,0.03125,"Carbapenems","m"
"8","Klebsiella pneumoniae","m","Cephalosporins (3rd gen.)",37,24,0.648648648648649,"Cephalosporins (3rd gen.)","m"
"9","Klebsiella pneumoniae","m","Quinolones",13,8,0.615384615384615,"Quinolones","m"
"10","Klebsiella pneumoniae","m","Trimethoprims",12,8,0.666666666666667,"Trimethoprims","m"
