"","mo_organism","get(par_var_name)","ab","n","r","total_R","ab_name","var_name"
"1","Klebsiella pneumoniae","bl","CAZ",26,20,0.769230769230769,"Ceftazidime","bl"
"2","Klebsiella pneumoniae","bl","CIP",4,4,1,"Ciprofloxacin","bl"
"3","Klebsiella pneumoniae","bl","CRO",28,26,0.928571428571429,"Ceftriaxone","bl"
"4","Klebsiella pneumoniae","bl","CTX",10,10,1,"Cefotaxime","bl"
"5","Klebsiella pneumoniae","bl","GEN",13,12,0.923076923076923,"Gentamicin","bl"
"6","Klebsiella pneumoniae","bl","IPM",14,0,0,"Imipenem","bl"
"7","Klebsiella pneumoniae","bl","MEM",10,0,0,"Meropenem","bl"
"8","Klebsiella pneumoniae","bl","SXT",5,5,1,"Trimethoprim/sulfamethoxazole","bl"
"9","Klebsiella pneumoniae","ur","CAZ",88,44,0.5,"Ceftazidime","ur"
"10","Klebsiella pneumoniae","ur","CIP",40,18,0.45,"Ciprofloxacin","ur"
"11","Klebsiella pneumoniae","ur","CRO",116,66,0.568965517241379,"Ceftriaxone","ur"
"12","Klebsiella pneumoniae","ur","CTX",24,18,0.75,"Cefotaxime","ur"
"13","Klebsiella pneumoniae","ur","GEN",56,25,0.446428571428571,"Gentamicin","ur"
"14","Klebsiella pneumoniae","ur","IPM",34,0,0,"Imipenem","ur"
"15","Klebsiella pneumoniae","ur","MEM",78,2,0.0256410256410256,"Meropenem","ur"
"16","Klebsiella pneumoniae","ur","SXT",20,15,0.75,"Trimethoprim/sulfamethoxazole","ur"
