"","mo_organism","get(par_var_name)","ab","n","r","total_R","ab_name","var_name"
"1","Proteus","bl","CAZ",2,0,0,"Ceftazidime","bl"
"2","Proteus","bl","CIP",2,0,0,"Ciprofloxacin","bl"
"3","Proteus","bl","CRO",2,0,0,"Ceftriaxone","bl"
"4","Proteus","bl","GEN",1,0,0,"Gentamicin","bl"
"5","Proteus","bl","MEM",2,0,0,"Meropenem","bl"
"6","Proteus","ur","AMP",2,2,1,"Ampicillin","ur"
"7","Proteus","ur","CAZ",38,4,0.105263157894737,"Ceftazidime","ur"
"8","Proteus","ur","CIP",24,4,0.166666666666667,"Ciprofloxacin","ur"
"9","Proteus","ur","CRO",38,4,0.105263157894737,"Ceftriaxone","ur"
"10","Proteus","ur","CTX",2,0,0,"Cefotaxime","ur"
"11","Proteus","ur","GEN",20,1,0.05,"Gentamicin","ur"
"12","Proteus","ur","IPM",4,0,0,"Imipenem","ur"
"13","Proteus","ur","MEM",38,0,0,"Meropenem","ur"
"14","Proteus","ur","SXT",5,2,0.4,"Trimethoprim/sulfamethoxazole","ur"
