"","mo_organism","get(par_var_name)","ab_class","n","r","total_R","ab_name","var_name"
"1","Proteus","bl","Aminoglycosides",1,0,0,"Aminoglycosides","bl"
"2","Proteus","bl","Carbapenems",1,0,0,"Carbapenems","bl"
"3","Proteus","bl","Cephalosporins (3rd gen.)",1,0,0,"Cephalosporins (3rd gen.)","bl"
"4","Proteus","bl","Quinolones",1,0,0,"Quinolones","bl"
"5","Proteus","ur","Aminoglycosides",19,1,0.0526315789473684,"Aminoglycosides","ur"
"6","Proteus","ur","Beta-lactams/penicillins",1,1,1,"Beta-lactams/penicillins","ur"
"7","Proteus","ur","Carbapenems",20,0,0,"Carbapenems","ur"
"8","Proteus","ur","Cephalosporins (3rd gen.)",19,3,0.157894736842105,"Cephalosporins (3rd gen.)","ur"
"9","Proteus","ur","Quinolones",12,2,0.166666666666667,"Quinolones","ur"
"10","Proteus","ur","Trimethoprims",5,2,0.4,"Trimethoprims","ur"
