"","mo_organism","get(par_var_name)","ab","n","r","total_R","ab_name","var_name"
"1","Pseudomonas aeruginosa","<1","CAZ",4,0,0,"Ceftazidime","<1"
"2","Pseudomonas aeruginosa","<1","CIP",2,0,0,"Ciprofloxacin","<1"
"3","Pseudomonas aeruginosa","<1","GEN",2,0,0,"Gentamicin","<1"
"4","Pseudomonas aeruginosa","<1","MEM",2,0,0,"Meropenem","<1"
"5","Pseudomonas aeruginosa","1-4","CAZ",6,2,0.333333333333333,"Ceftazidime","1-4"
"6","Pseudomonas aeruginosa","1-4","CIP",4,2,0.5,"Ciprofloxacin","1-4"
"7","Pseudomonas aeruginosa","1-4","GEN",4,1,0.25,"Gentamicin","1-4"
"8","Pseudomonas aeruginosa","1-4","IPM",4,0,0,"Imipenem","1-4"
"9","Pseudomonas aeruginosa","1-4","MEM",6,0,0,"Meropenem","1-4"
"10","Pseudomonas aeruginosa","5-19","CAZ",4,0,0,"Ceftazidime","5-19"
"11","Pseudomonas aeruginosa","5-19","CIP",4,0,0,"Ciprofloxacin","5-19"
"12","Pseudomonas aeruginosa","5-19","GEN",3,0,0,"Gentamicin","5-19"
"13","Pseudomonas aeruginosa","5-19","IPM",2,0,0,"Imipenem","5-19"
"14","Pseudomonas aeruginosa","5-19","MEM",4,0,0,"Meropenem","5-19"
"15","Pseudomonas aeruginosa","20-49","CAZ",18,8,0.444444444444444,"Ceftazidime","20-49"
"16","Pseudomonas aeruginosa","20-49","CIP",8,2,0.25,"Ciprofloxacin","20-49"
"17","Pseudomonas aeruginosa","20-49","GEN",10,5,0.5,"Gentamicin","20-49"
"18","Pseudomonas aeruginosa","20-49","IPM",6,6,1,"Imipenem","20-49"
"19","Pseudomonas aeruginosa","20-49","MEM",14,4,0.285714285714286,"Meropenem","20-49"
"20","Pseudomonas aeruginosa","50-64","CAZ",10,8,0.8,"Ceftazidime","50-64"
"21","Pseudomonas aeruginosa","50-64","CIP",6,2,0.333333333333333,"Ciprofloxacin","50-64"
"22","Pseudomonas aeruginosa","50-64","GEN",5,3,0.6,"Gentamicin","50-64"
"23","Pseudomonas aeruginosa","50-64","IPM",2,2,1,"Imipenem","50-64"
"24","Pseudomonas aeruginosa","50-64","MEM",10,6,0.6,"Meropenem","50-64"
"25","Pseudomonas aeruginosa","65+","CAZ",10,4,0.4,"Ceftazidime","65+"
"26","Pseudomonas aeruginosa","65+","CIP",6,4,0.666666666666667,"Ciprofloxacin","65+"
"27","Pseudomonas aeruginosa","65+","GEN",8,4,0.5,"Gentamicin","65+"
"28","Pseudomonas aeruginosa","65+","IPM",8,6,0.75,"Imipenem","65+"
"29","Pseudomonas aeruginosa","65+","MEM",10,4,0.4,"Meropenem","65+"
"30","Pseudomonas aeruginosa",NA,"CAZ",2,0,0,"Ceftazidime",NA
"31","Pseudomonas aeruginosa",NA,"CIP",2,0,0,"Ciprofloxacin",NA
"32","Pseudomonas aeruginosa",NA,"GEN",2,0,0,"Gentamicin",NA
"33","Pseudomonas aeruginosa",NA,"IPM",2,0,0,"Imipenem",NA
"34","Pseudomonas aeruginosa",NA,"MEM",2,0,0,"Meropenem",NA
