"","mo_organism","get(par_var_name)","ab_class","n","r","total_R","ab_name","var_name"
"1","Pseudomonas aeruginosa","<1","Aminoglycosides",2,0,0,"Aminoglycosides","<1"
"2","Pseudomonas aeruginosa","<1","Carbapenems",1,0,0,"Carbapenems","<1"
"3","Pseudomonas aeruginosa","<1","Cephalosporins (3rd gen.)",2,0,0,"Cephalosporins (3rd gen.)","<1"
"4","Pseudomonas aeruginosa","<1","Quinolones",1,0,0,"Quinolones","<1"
"5","Pseudomonas aeruginosa","1-4","Aminoglycosides",3,1,0.333333333333333,"Aminoglycosides","1-4"
"6","Pseudomonas aeruginosa","1-4","Carbapenems",4,0,0,"Carbapenems","1-4"
"7","Pseudomonas aeruginosa","1-4","Cephalosporins (3rd gen.)",3,1,0.333333333333333,"Cephalosporins (3rd gen.)","1-4"
"8","Pseudomonas aeruginosa","1-4","Quinolones",2,1,0.5,"Quinolones","1-4"
"9","Pseudomonas aeruginosa","5-19","Aminoglycosides",3,0,0,"Aminoglycosides","5-19"
"10","Pseudomonas aeruginosa","5-19","Carbapenems",3,0,0,"Carbapenems","5-19"
"11","Pseudomonas aeruginosa","5-19","Cephalosporins (3rd gen.)",2,0,0,"Cephalosporins (3rd gen.)","5-19"
"12","Pseudomonas aeruginosa","5-19","Quinolones",2,0,0,"Quinolones","5-19"
"13","Pseudomonas aeruginosa","20-49","Aminoglycosides",9,5,0.555555555555556,"Aminoglycosides","20-49"
"14","Pseudomonas aeruginosa","20-49","Carbapenems",9,4,0.444444444444444,"Carbapenems","20-49"
"15","Pseudomonas aeruginosa","20-49","Cephalosporins (3rd gen.)",8,4,0.5,"Cephalosporins (3rd gen.)","20-49"
"16","Pseudomonas aeruginosa","20-49","Quinolones",4,1,0.25,"Quinolones","20-49"
"17","Pseudomonas aeruginosa","50-64","Aminoglycosides",5,3,0.6,"Aminoglycosides","50-64"
"18","Pseudomonas aeruginosa","50-64","Carbapenems",5,3,0.6,"Carbapenems","50-64"
"19","Pseudomonas aeruginosa","50-64","Cephalosporins (3rd gen.)",5,4,0.8,"Cephalosporins (3rd gen.)","50-64"
"20","Pseudomonas aeruginosa","50-64","Quinolones",3,1,0.333333333333333,"Quinolones","50-64"
"21","Pseudomonas aeruginosa","65+","Aminoglycosides",7,4,0.571428571428571,"Aminoglycosides","65+"
"22","Pseudomonas aeruginosa","65+","Carbapenems",8,4,0.5,"Carbapenems","65+"
"23","Pseudomonas aeruginosa","65+","Cephalosporins (3rd gen.)",5,2,0.4,"Cephalosporins (3rd gen.)","65+"
"24","Pseudomonas aeruginosa","65+","Quinolones",3,2,0.666666666666667,"Quinolones","65+"
"25","Pseudomonas aeruginosa",NA,"Aminoglycosides",2,0,0,"Aminoglycosides",NA
"26","Pseudomonas aeruginosa",NA,"Carbapenems",2,0,0,"Carbapenems",NA
"27","Pseudomonas aeruginosa",NA,"Cephalosporins (3rd gen.)",1,0,0,"Cephalosporins (3rd gen.)",NA
"28","Pseudomonas aeruginosa",NA,"Quinolones",1,0,0,"Quinolones",NA
