"","mo_organism","get(par_var_name)","ab","n","r","total_R","ab_name","var_name"
"1","Serratia","<1","CAZ",2,2,1,"Ceftazidime","<1"
"2","Serratia","<1","CIP",2,2,1,"Ciprofloxacin","<1"
"3","Serratia","<1","CRO",2,2,1,"Ceftriaxone","<1"
"4","Serratia","<1","GEN",1,0,0,"Gentamicin","<1"
"5","Serratia","<1","MEM",2,0,0,"Meropenem","<1"
"6","Serratia","1-4","CAZ",2,0,0,"Ceftazidime","1-4"
"7","Serratia","1-4","CIP",2,0,0,"Ciprofloxacin","1-4"
"8","Serratia","1-4","CRO",2,0,0,"Ceftriaxone","1-4"
"9","Serratia","1-4","MEM",2,0,0,"Meropenem","1-4"
"10","Serratia","5-19","CAZ",2,0,0,"Ceftazidime","5-19"
"11","Serratia","5-19","CIP",2,0,0,"Ciprofloxacin","5-19"
"12","Serratia","5-19","CRO",2,0,0,"Ceftriaxone","5-19"
"13","Serratia","5-19","GEN",1,0,0,"Gentamicin","5-19"
"14","Serratia","5-19","MEM",2,0,0,"Meropenem","5-19"
"15","Serratia","20-49","CAZ",2,0,0,"Ceftazidime","20-49"
"16","Serratia","20-49","CIP",2,0,0,"Ciprofloxacin","20-49"
"17","Serratia","20-49","CRO",2,0,0,"Ceftriaxone","20-49"
"18","Serratia","20-49","GEN",1,0,0,"Gentamicin","20-49"
"19","Serratia","20-49","MEM",2,0,0,"Meropenem","20-49"
"20","Serratia","50-64","CAZ",2,2,1,"Ceftazidime","50-64"
"21","Serratia","50-64","CRO",2,2,1,"Ceftriaxone","50-64"
"22","Serratia","50-64","MEM",2,0,0,"Meropenem","50-64"
