"","mo_organism","get(par_var_name)","ab_class","n","r","total_R","ab_name","var_name"
"1","Serratia","<1","Aminoglycosides",1,0,0,"Aminoglycosides","<1"
"2","Serratia","<1","Carbapenems",1,0,0,"Carbapenems","<1"
"3","Serratia","<1","Cephalosporins (3rd gen.)",1,1,1,"Cephalosporins (3rd gen.)","<1"
"4","Serratia","<1","Quinolones",1,1,1,"Quinolones","<1"
"5","Serratia","1-4","Carbapenems",1,0,0,"Carbapenems","1-4"
"6","Serratia","1-4","Cephalosporins (3rd gen.)",1,0,0,"Cephalosporins (3rd gen.)","1-4"
"7","Serratia","1-4","Quinolones",1,0,0,"Quinolones","1-4"
"8","Serratia","5-19","Aminoglycosides",1,0,0,"Aminoglycosides","5-19"
"9","Serratia","5-19","Carbapenems",1,0,0,"Carbapenems","5-19"
"10","Serratia","5-19","Cephalosporins (3rd gen.)",1,0,0,"Cephalosporins (3rd gen.)","5-19"
"11","Serratia","5-19","Quinolones",1,0,0,"Quinolones","5-19"
"12","Serratia","20-49","Aminoglycosides",1,0,0,"Aminoglycosides","20-49"
"13","Serratia","20-49","Carbapenems",1,0,0,"Carbapenems","20-49"
"14","Serratia","20-49","Cephalosporins (3rd gen.)",1,0,0,"Cephalosporins (3rd gen.)","20-49"
"15","Serratia","20-49","Quinolones",1,0,0,"Quinolones","20-49"
"16","Serratia","50-64","Carbapenems",1,0,0,"Carbapenems","50-64"
"17","Serratia","50-64","Cephalosporins (3rd gen.)",1,1,1,"Cephalosporins (3rd gen.)","50-64"
