"","mo_organism","get(par_var_name)","ab","n","r","total_R","ab_name","var_name"
"1","Serratia","bl","CAZ",2,2,1,"Ceftazidime","bl"
"2","Serratia","bl","CIP",2,2,1,"Ciprofloxacin","bl"
"3","Serratia","bl","CRO",2,2,1,"Ceftriaxone","bl"
"4","Serratia","bl","GEN",1,0,0,"Gentamicin","bl"
"5","Serratia","bl","MEM",2,0,0,"Meropenem","bl"
"6","Serratia","ur","CAZ",8,2,0.25,"Ceftazidime","ur"
"7","Serratia","ur","CIP",6,0,0,"Ciprofloxacin","ur"
"8","Serratia","ur","CRO",8,2,0.25,"Ceftriaxone","ur"
"9","Serratia","ur","GEN",2,0,0,"Gentamicin","ur"
"10","Serratia","ur","MEM",8,0,0,"Meropenem","ur"
