"","mo_organism","get(par_var_name)","ab","n","r","total_R","ab_name","var_name"
"1","Staphylococcus aureus","<1","CIP",44,12,0.272727272727273,"Ciprofloxacin","<1"
"2","Staphylococcus aureus","<1","FOX",70,28,0.4,"Cefoxitin","<1"
"3","Staphylococcus aureus","<1","GEN",30,6,0.2,"Gentamicin","<1"
"4","Staphylococcus aureus","<1","PEN",48,48,1,"Benzylpenicillin","<1"
"5","Staphylococcus aureus","<1","SXT",23,18,0.782608695652174,"Trimethoprim/sulfamethoxazole","<1"
"6","Staphylococcus aureus","1-4","CIP",46,14,0.304347826086957,"Ciprofloxacin","1-4"
"7","Staphylococcus aureus","1-4","FOX",124,64,0.516129032258065,"Cefoxitin","1-4"
"8","Staphylococcus aureus","1-4","GEN",50,10,0.2,"Gentamicin","1-4"
"9","Staphylococcus aureus","1-4","PEN",94,90,0.957446808510638,"Benzylpenicillin","1-4"
"10","Staphylococcus aureus","1-4","SXT",35,27,0.771428571428571,"Trimethoprim/sulfamethoxazole","1-4"
"11","Staphylococcus aureus","5-19","CIP",18,2,0.111111111111111,"Ciprofloxacin","5-19"
"12","Staphylococcus aureus","5-19","FOX",46,22,0.478260869565217,"Cefoxitin","5-19"
"13","Staphylococcus aureus","5-19","GEN",19,5,0.263157894736842,"Gentamicin","5-19"
"14","Staphylococcus aureus","5-19","PEN",36,36,1,"Benzylpenicillin","5-19"
"15","Staphylococcus aureus","5-19","SXT",10,4,0.4,"Trimethoprim/sulfamethoxazole","5-19"
"16","Staphylococcus aureus","20-49","CIP",40,16,0.4,"Ciprofloxacin","20-49"
"17","Staphylococcus aureus","20-49","FOX",68,46,0.676470588235294,"Cefoxitin","20-49"
"18","Staphylococcus aureus","20-49","GEN",29,7,0.241379310344828,"Gentamicin","20-49"
"19","Staphylococcus aureus","20-49","PEN",44,42,0.954545454545455,"Benzylpenicillin","20-49"
"20","Staphylococcus aureus","20-49","SXT",21,14,0.666666666666667,"Trimethoprim/sulfamethoxazole","20-49"
"21","Staphylococcus aureus","50-64","CIP",14,4,0.285714285714286,"Ciprofloxacin","50-64"
"22","Staphylococcus aureus","50-64","FOX",58,20,0.344827586206897,"Cefoxitin","50-64"
"23","Staphylococcus aureus","50-64","GEN",24,4,0.166666666666667,"Gentamicin","50-64"
"24","Staphylococcus aureus","50-64","PEN",40,36,0.9,"Benzylpenicillin","50-64"
"25","Staphylococcus aureus","50-64","SXT",15,10,0.666666666666667,"Trimethoprim/sulfamethoxazole","50-64"
"26","Staphylococcus aureus","65+","CIP",16,10,0.625,"Ciprofloxacin","65+"
"27","Staphylococcus aureus","65+","FOX",32,24,0.75,"Cefoxitin","65+"
"28","Staphylococcus aureus","65+","GEN",12,4,0.333333333333333,"Gentamicin","65+"
"29","Staphylococcus aureus","65+","PEN",22,22,1,"Benzylpenicillin","65+"
"30","Staphylococcus aureus","65+","SXT",8,5,0.625,"Trimethoprim/sulfamethoxazole","65+"
"31","Staphylococcus aureus",NA,"FOX",2,2,1,"Cefoxitin",NA
"32","Staphylococcus aureus",NA,"GEN",1,0,0,"Gentamicin",NA
