"","mo_organism","get(par_var_name)","ab_class","n","r","total_R","ab_name","var_name"
"1","Staphylococcus aureus","f","Aminoglycosides",76,15,0.197368421052632,"Aminoglycosides","f"
"2","Staphylococcus aureus","f","Beta-lactams/penicillins",67,65,0.970149253731343,"Beta-lactams/penicillins","f"
"3","Staphylococcus aureus","f","Cephalosporins (2nd gen.)",96,50,0.520833333333333,"Cephalosporins (2nd gen.)","f"
"4","Staphylococcus aureus","f","Quinolones",42,15,0.357142857142857,"Quinolones","f"
"5","Staphylococcus aureus","f","Trimethoprims",56,43,0.767857142857143,"Trimethoprims","f"
"6","Staphylococcus aureus","m","Aminoglycosides",88,21,0.238636363636364,"Aminoglycosides","m"
"7","Staphylococcus aureus","m","Beta-lactams/penicillins",73,71,0.972602739726027,"Beta-lactams/penicillins","m"
"8","Staphylococcus aureus","m","Cephalosporins (2nd gen.)",102,52,0.509803921568627,"Cephalosporins (2nd gen.)","m"
"9","Staphylococcus aureus","m","Quinolones",47,14,0.297872340425532,"Quinolones","m"
"10","Staphylococcus aureus","m","Trimethoprims",55,34,0.618181818181818,"Trimethoprims","m"
