"","mo_organism","get(par_var_name)","ab","n","r","total_R","ab_name","var_name"
"1","Citrobacter","F","AMK",1,0,0,"Amikacin","F"
"2","Citrobacter","F","CAZ",2,2,1,"Ceftazidime","F"
"3","Citrobacter","F","CRO",2,2,1,"Ceftriaxone","F"
"4","Citrobacter","F","CTX",2,2,1,"Cefotaxime","F"
"5","Citrobacter","F","FEP",2,2,1,"Cefepime","F"
"6","Citrobacter","F","MEM",2,0,0,"Meropenem","F"
"7","Citrobacter","F","NAL",1,1,1,"Nalidixic acid","F"
"8","Citrobacter","F","NIT",1,0,0,"Nitrofurantoin","F"
"9","Citrobacter","F","NOR",2,0,0,"Norfloxacin","F"
"10","Citrobacter","F","TZP",3,3,1,"Piperacillin/tazobactam","F"
"11","Citrobacter","M","CTX",2,2,1,"Cefotaxime","M"
"12","Citrobacter","M","FEP",2,2,1,"Cefepime","M"
"13","Citrobacter","M","IPM",2,0,0,"Imipenem","M"
"14","Citrobacter","M","MEM",2,0,0,"Meropenem","M"
"15","Citrobacter","M","TZP",3,0,0,"Piperacillin/tazobactam","M"
