"","mo_organism","get(par_var_name)","ab_class","n","r","total_R","ab_name","var_name"
"1","Citrobacter","F","Aminoglycosides",1,0,0,"Aminoglycosides","F"
"2","Citrobacter","F","Beta-lactams/penicillins",1,1,1,"Beta-lactams/penicillins","F"
"3","Citrobacter","F","Carbapenems",1,0,0,"Carbapenems","F"
"4","Citrobacter","F","Cephalosporins (3rd gen.)",1,1,1,"Cephalosporins (3rd gen.)","F"
"5","Citrobacter","F","Cephalosporins (4th gen.)",1,1,1,"Cephalosporins (4th gen.)","F"
"6","Citrobacter","F","Quinolones",1,1,1,"Quinolones","F"
"7","Citrobacter","M","Beta-lactams/penicillins",1,0,0,"Beta-lactams/penicillins","M"
"8","Citrobacter","M","Carbapenems",1,0,0,"Carbapenems","M"
"9","Citrobacter","M","Cephalosporins (3rd gen.)",1,1,1,"Cephalosporins (3rd gen.)","M"
"10","Citrobacter","M","Cephalosporins (4th gen.)",1,1,1,"Cephalosporins (4th gen.)","M"
