"","mo_organism","get(par_var_name)","ab","n","r","total_R","ab_name","var_name"
"1","Citrobacter","Pus","CTX",2,2,1,"Cefotaxime","Pus"
"2","Citrobacter","Pus","FEP",2,2,1,"Cefepime","Pus"
"3","Citrobacter","Pus","IPM",2,0,0,"Imipenem","Pus"
"4","Citrobacter","Pus","MEM",2,0,0,"Meropenem","Pus"
"5","Citrobacter","Pus","TZP",3,0,0,"Piperacillin/tazobactam","Pus"
"6","Citrobacter","Urine","AMK",1,0,0,"Amikacin","Urine"
"7","Citrobacter","Urine","CAZ",2,2,1,"Ceftazidime","Urine"
"8","Citrobacter","Urine","CRO",2,2,1,"Ceftriaxone","Urine"
"9","Citrobacter","Urine","CTX",2,2,1,"Cefotaxime","Urine"
"10","Citrobacter","Urine","FEP",2,2,1,"Cefepime","Urine"
"11","Citrobacter","Urine","MEM",2,0,0,"Meropenem","Urine"
"12","Citrobacter","Urine","NAL",1,1,1,"Nalidixic acid","Urine"
"13","Citrobacter","Urine","NIT",1,0,0,"Nitrofurantoin","Urine"
"14","Citrobacter","Urine","NOR",2,0,0,"Norfloxacin","Urine"
"15","Citrobacter","Urine","TZP",3,3,1,"Piperacillin/tazobactam","Urine"
