"","mo_organism","get(par_var_name)","ab_class","n","r","total_R","ab_name","var_name"
"1","Citrobacter","Pus","Beta-lactams/penicillins",1,0,0,"Beta-lactams/penicillins","Pus"
"2","Citrobacter","Pus","Carbapenems",1,0,0,"Carbapenems","Pus"
"3","Citrobacter","Pus","Cephalosporins (3rd gen.)",1,1,1,"Cephalosporins (3rd gen.)","Pus"
"4","Citrobacter","Pus","Cephalosporins (4th gen.)",1,1,1,"Cephalosporins (4th gen.)","Pus"
"5","Citrobacter","Urine","Aminoglycosides",1,0,0,"Aminoglycosides","Urine"
"6","Citrobacter","Urine","Beta-lactams/penicillins",1,1,1,"Beta-lactams/penicillins","Urine"
"7","Citrobacter","Urine","Carbapenems",1,0,0,"Carbapenems","Urine"
"8","Citrobacter","Urine","Cephalosporins (3rd gen.)",1,1,1,"Cephalosporins (3rd gen.)","Urine"
"9","Citrobacter","Urine","Cephalosporins (4th gen.)",1,1,1,"Cephalosporins (4th gen.)","Urine"
"10","Citrobacter","Urine","Quinolones",1,1,1,"Quinolones","Urine"
