"","mo_organism","get(par_var_name)","ab","n","r","total_R","ab_name","var_name"
"1","Enterobacter","1-4","AMK",1,0,0,"Amikacin","1-4"
"2","Enterobacter","1-4","CAZ",4,0,0,"Ceftazidime","1-4"
"3","Enterobacter","1-4","CRO",4,2,0.5,"Ceftriaxone","1-4"
"4","Enterobacter","1-4","CTX",4,4,1,"Cefotaxime","1-4"
"5","Enterobacter","1-4","FEP",2,0,0,"Cefepime","1-4"
"6","Enterobacter","1-4","MEM",4,0,0,"Meropenem","1-4"
"7","Enterobacter","1-4","NAL",1,1,1,"Nalidixic acid","1-4"
"8","Enterobacter","1-4","NIT",2,0,0,"Nitrofurantoin","1-4"
"9","Enterobacter","1-4","NOR",2,0,0,"Norfloxacin","1-4"
"10","Enterobacter","1-4","TZP",6,3,0.5,"Piperacillin/tazobactam","1-4"
"11","Enterobacter","5-19","CHL",1,0,0,"Chloramphenicol","5-19"
"12","Enterobacter","20-49","CAZ",8,4,0.5,"Ceftazidime","20-49"
"13","Enterobacter","20-49","CHL",1,0,0,"Chloramphenicol","20-49"
"14","Enterobacter","20-49","CRO",6,2,0.333333333333333,"Ceftriaxone","20-49"
"15","Enterobacter","20-49","CTX",8,4,0.5,"Cefotaxime","20-49"
"16","Enterobacter","20-49","FEP",2,0,0,"Cefepime","20-49"
"17","Enterobacter","20-49","IPM",4,2,0.5,"Imipenem","20-49"
"18","Enterobacter","20-49","MEM",10,0,0,"Meropenem","20-49"
"19","Enterobacter","20-49","NAL",3,2,0.666666666666667,"Nalidixic acid","20-49"
"20","Enterobacter","20-49","NIT",3,0,0,"Nitrofurantoin","20-49"
"21","Enterobacter","20-49","NOR",6,2,0.333333333333333,"Norfloxacin","20-49"
"22","Enterobacter","20-49","TZP",15,3,0.2,"Piperacillin/tazobactam","20-49"
"23","Enterobacter","50-64","AMK",1,0,0,"Amikacin","50-64"
"24","Enterobacter","50-64","CAZ",2,0,0,"Ceftazidime","50-64"
"25","Enterobacter","50-64","CRO",2,0,0,"Ceftriaxone","50-64"
"26","Enterobacter","50-64","CTX",2,2,1,"Cefotaxime","50-64"
"27","Enterobacter","50-64","FEP",2,0,0,"Cefepime","50-64"
"28","Enterobacter","50-64","TZP",3,0,0,"Piperacillin/tazobactam","50-64"
"29","Enterobacter","65+","CAZ",2,2,1,"Ceftazidime","65+"
"30","Enterobacter","65+","CRO",2,2,1,"Ceftriaxone","65+"
"31","Enterobacter","65+","CTX",2,2,1,"Cefotaxime","65+"
"32","Enterobacter","65+","MEM",2,0,0,"Meropenem","65+"
"33","Enterobacter","65+","NAL",1,0,0,"Nalidixic acid","65+"
"34","Enterobacter","65+","NIT",1,0,0,"Nitrofurantoin","65+"
"35","Enterobacter","65+","NOR",2,0,0,"Norfloxacin","65+"
"36","Enterobacter","65+","TZP",3,3,1,"Piperacillin/tazobactam","65+"
