"","mo_organism","get(par_var_name)","ab_class","n","r","total_R","ab_name","var_name"
"1","Enterobacter","1-4","Aminoglycosides",1,0,0,"Aminoglycosides","1-4"
"2","Enterobacter","1-4","Beta-lactams/penicillins",2,1,0.5,"Beta-lactams/penicillins","1-4"
"3","Enterobacter","1-4","Carbapenems",2,0,0,"Carbapenems","1-4"
"4","Enterobacter","1-4","Cephalosporins (3rd gen.)",2,2,1,"Cephalosporins (3rd gen.)","1-4"
"5","Enterobacter","1-4","Cephalosporins (4th gen.)",1,0,0,"Cephalosporins (4th gen.)","1-4"
"6","Enterobacter","1-4","Quinolones",1,1,1,"Quinolones","1-4"
"7","Enterobacter","20-49","Beta-lactams/penicillins",5,1,0.2,"Beta-lactams/penicillins","20-49"
"8","Enterobacter","20-49","Carbapenems",5,1,0.2,"Carbapenems","20-49"
"9","Enterobacter","20-49","Cephalosporins (3rd gen.)",5,3,0.6,"Cephalosporins (3rd gen.)","20-49"
"10","Enterobacter","20-49","Cephalosporins (4th gen.)",1,0,0,"Cephalosporins (4th gen.)","20-49"
"11","Enterobacter","20-49","Quinolones",3,2,0.666666666666667,"Quinolones","20-49"
"12","Enterobacter","50-64","Aminoglycosides",1,0,0,"Aminoglycosides","50-64"
"13","Enterobacter","50-64","Beta-lactams/penicillins",1,0,0,"Beta-lactams/penicillins","50-64"
"14","Enterobacter","50-64","Cephalosporins (3rd gen.)",1,1,1,"Cephalosporins (3rd gen.)","50-64"
"15","Enterobacter","50-64","Cephalosporins (4th gen.)",1,0,0,"Cephalosporins (4th gen.)","50-64"
"16","Enterobacter","65+","Beta-lactams/penicillins",1,1,1,"Beta-lactams/penicillins","65+"
"17","Enterobacter","65+","Carbapenems",1,0,0,"Carbapenems","65+"
"18","Enterobacter","65+","Cephalosporins (3rd gen.)",1,1,1,"Cephalosporins (3rd gen.)","65+"
"19","Enterobacter","65+","Quinolones",1,0,0,"Quinolones","65+"
