"","mo_organism","get(par_var_name)","ab","n","r","total_R","ab_name","var_name"
"1","Enterobacter","F","AMK",1,0,0,"Amikacin","F"
"2","Enterobacter","F","CAZ",8,2,0.25,"Ceftazidime","F"
"3","Enterobacter","F","CRO",8,4,0.5,"Ceftriaxone","F"
"4","Enterobacter","F","CTX",10,8,0.8,"Cefotaxime","F"
"5","Enterobacter","F","FEP",4,0,0,"Cefepime","F"
"6","Enterobacter","F","IPM",2,0,0,"Imipenem","F"
"7","Enterobacter","F","MEM",10,0,0,"Meropenem","F"
"8","Enterobacter","F","NAL",3,3,1,"Nalidixic acid","F"
"9","Enterobacter","F","NIT",4,0,0,"Nitrofurantoin","F"
"10","Enterobacter","F","NOR",6,2,0.333333333333333,"Norfloxacin","F"
"11","Enterobacter","F","TZP",15,3,0.2,"Piperacillin/tazobactam","F"
"12","Enterobacter","M","AMK",1,0,0,"Amikacin","M"
"13","Enterobacter","M","CAZ",8,4,0.5,"Ceftazidime","M"
"14","Enterobacter","M","CHL",2,0,0,"Chloramphenicol","M"
"15","Enterobacter","M","CRO",6,2,0.333333333333333,"Ceftriaxone","M"
"16","Enterobacter","M","CTX",6,4,0.666666666666667,"Cefotaxime","M"
"17","Enterobacter","M","FEP",2,0,0,"Cefepime","M"
"18","Enterobacter","M","IPM",2,2,1,"Imipenem","M"
"19","Enterobacter","M","MEM",6,0,0,"Meropenem","M"
"20","Enterobacter","M","NAL",2,0,0,"Nalidixic acid","M"
"21","Enterobacter","M","NIT",2,0,0,"Nitrofurantoin","M"
"22","Enterobacter","M","NOR",4,0,0,"Norfloxacin","M"
"23","Enterobacter","M","TZP",12,6,0.5,"Piperacillin/tazobactam","M"
