"","mo_organism","get(par_var_name)","ab_class","n","r","total_R","ab_name","var_name"
"1","Enterobacter","F","Aminoglycosides",1,0,0,"Aminoglycosides","F"
"2","Enterobacter","F","Beta-lactams/penicillins",5,1,0.2,"Beta-lactams/penicillins","F"
"3","Enterobacter","F","Carbapenems",5,0,0,"Carbapenems","F"
"4","Enterobacter","F","Cephalosporins (3rd gen.)",5,4,0.8,"Cephalosporins (3rd gen.)","F"
"5","Enterobacter","F","Cephalosporins (4th gen.)",2,0,0,"Cephalosporins (4th gen.)","F"
"6","Enterobacter","F","Quinolones",3,3,1,"Quinolones","F"
"7","Enterobacter","M","Aminoglycosides",1,0,0,"Aminoglycosides","M"
"8","Enterobacter","M","Beta-lactams/penicillins",4,2,0.5,"Beta-lactams/penicillins","M"
"9","Enterobacter","M","Carbapenems",3,1,0.333333333333333,"Carbapenems","M"
"10","Enterobacter","M","Cephalosporins (3rd gen.)",4,3,0.75,"Cephalosporins (3rd gen.)","M"
"11","Enterobacter","M","Cephalosporins (4th gen.)",1,0,0,"Cephalosporins (4th gen.)","M"
"12","Enterobacter","M","Quinolones",2,0,0,"Quinolones","M"
