"","mo_organism","get(par_var_name)","ab","n","r","total_R","ab_name","var_name"
"1","Enterobacter","Blood","CHL",1,0,0,"Chloramphenicol","Blood"
"2","Enterobacter","Cerebrospinal Fluid","AMK",1,0,0,"Amikacin","Cerebrospinal Fluid"
"3","Enterobacter","Cerebrospinal Fluid","CAZ",2,0,0,"Ceftazidime","Cerebrospinal Fluid"
"4","Enterobacter","Cerebrospinal Fluid","CRO",2,0,0,"Ceftriaxone","Cerebrospinal Fluid"
"5","Enterobacter","Cerebrospinal Fluid","CTX",2,2,1,"Cefotaxime","Cerebrospinal Fluid"
"6","Enterobacter","Cerebrospinal Fluid","FEP",2,0,0,"Cefepime","Cerebrospinal Fluid"
"7","Enterobacter","Cerebrospinal Fluid","TZP",3,0,0,"Piperacillin/tazobactam","Cerebrospinal Fluid"
"8","Enterobacter","Genital","CAZ",2,2,1,"Ceftazidime","Genital"
"9","Enterobacter","Genital","CHL",1,0,0,"Chloramphenicol","Genital"
"10","Enterobacter","Genital","IPM",2,2,1,"Imipenem","Genital"
"11","Enterobacter","Genital","MEM",2,0,0,"Meropenem","Genital"
"12","Enterobacter","Genital","TZP",3,3,1,"Piperacillin/tazobactam","Genital"
"13","Enterobacter","Pus","CTX",2,2,1,"Cefotaxime","Pus"
"14","Enterobacter","Pus","FEP",2,0,0,"Cefepime","Pus"
"15","Enterobacter","Pus","IPM",2,0,0,"Imipenem","Pus"
"16","Enterobacter","Pus","MEM",2,0,0,"Meropenem","Pus"
"17","Enterobacter","Pus","TZP",3,0,0,"Piperacillin/tazobactam","Pus"
"18","Enterobacter","Urine","AMK",1,0,0,"Amikacin","Urine"
"19","Enterobacter","Urine","CAZ",12,4,0.333333333333333,"Ceftazidime","Urine"
"20","Enterobacter","Urine","CRO",12,6,0.5,"Ceftriaxone","Urine"
"21","Enterobacter","Urine","CTX",12,8,0.666666666666667,"Cefotaxime","Urine"
"22","Enterobacter","Urine","FEP",2,0,0,"Cefepime","Urine"
"23","Enterobacter","Urine","MEM",12,0,0,"Meropenem","Urine"
"24","Enterobacter","Urine","NAL",5,3,0.6,"Nalidixic acid","Urine"
"25","Enterobacter","Urine","NIT",6,0,0,"Nitrofurantoin","Urine"
"26","Enterobacter","Urine","NOR",10,2,0.2,"Norfloxacin","Urine"
"27","Enterobacter","Urine","TZP",18,6,0.333333333333333,"Piperacillin/tazobactam","Urine"
