"","mo_organism","get(par_var_name)","ab_class","n","r","total_R","ab_name","var_name"
"1","Enterobacter","Cerebrospinal Fluid","Aminoglycosides",1,0,0,"Aminoglycosides","Cerebrospinal Fluid"
"2","Enterobacter","Cerebrospinal Fluid","Beta-lactams/penicillins",1,0,0,"Beta-lactams/penicillins","Cerebrospinal Fluid"
"3","Enterobacter","Cerebrospinal Fluid","Cephalosporins (3rd gen.)",1,1,1,"Cephalosporins (3rd gen.)","Cerebrospinal Fluid"
"4","Enterobacter","Cerebrospinal Fluid","Cephalosporins (4th gen.)",1,0,0,"Cephalosporins (4th gen.)","Cerebrospinal Fluid"
"5","Enterobacter","Genital","Beta-lactams/penicillins",1,1,1,"Beta-lactams/penicillins","Genital"
"6","Enterobacter","Genital","Carbapenems",1,1,1,"Carbapenems","Genital"
"7","Enterobacter","Genital","Cephalosporins (3rd gen.)",1,1,1,"Cephalosporins (3rd gen.)","Genital"
"8","Enterobacter","Pus","Beta-lactams/penicillins",1,0,0,"Beta-lactams/penicillins","Pus"
"9","Enterobacter","Pus","Carbapenems",1,0,0,"Carbapenems","Pus"
"10","Enterobacter","Pus","Cephalosporins (3rd gen.)",1,1,1,"Cephalosporins (3rd gen.)","Pus"
"11","Enterobacter","Pus","Cephalosporins (4th gen.)",1,0,0,"Cephalosporins (4th gen.)","Pus"
"12","Enterobacter","Urine","Aminoglycosides",1,0,0,"Aminoglycosides","Urine"
"13","Enterobacter","Urine","Beta-lactams/penicillins",6,2,0.333333333333333,"Beta-lactams/penicillins","Urine"
"14","Enterobacter","Urine","Carbapenems",6,0,0,"Carbapenems","Urine"
"15","Enterobacter","Urine","Cephalosporins (3rd gen.)",6,4,0.666666666666667,"Cephalosporins (3rd gen.)","Urine"
"16","Enterobacter","Urine","Cephalosporins (4th gen.)",1,0,0,"Cephalosporins (4th gen.)","Urine"
"17","Enterobacter","Urine","Quinolones",5,3,0.6,"Quinolones","Urine"
