"","mo_organism","get(par_var_name)","ab","n","r","total_R","ab_name","var_name"
"1","Enterococcus faecalis","1-4","AMP",8,2,0.25,"Ampicillin","1-4"
"2","Enterococcus faecalis","1-4","NIT",3,1,0.333333333333333,"Nitrofurantoin","1-4"
"3","Enterococcus faecalis","1-4","NOR",8,6,0.75,"Norfloxacin","1-4"
"4","Enterococcus faecalis","1-4","VAN",4,0,0,"Vancomycin","1-4"
"5","Enterococcus faecalis","5-19","AMP",18,6,0.333333333333333,"Ampicillin","5-19"
"6","Enterococcus faecalis","5-19","CIP",2,0,0,"Ciprofloxacin","5-19"
"7","Enterococcus faecalis","5-19","NIT",3,0,0,"Nitrofurantoin","5-19"
"8","Enterococcus faecalis","5-19","NOR",12,10,0.833333333333333,"Norfloxacin","5-19"
"9","Enterococcus faecalis","5-19","VAN",9,2,0.222222222222222,"Vancomycin","5-19"
"10","Enterococcus faecalis","20-49","AMP",22,2,0.0909090909090909,"Ampicillin","20-49"
"11","Enterococcus faecalis","20-49","CIP",6,2,0.333333333333333,"Ciprofloxacin","20-49"
"12","Enterococcus faecalis","20-49","NIT",12,0,0,"Nitrofurantoin","20-49"
"13","Enterococcus faecalis","20-49","NOR",18,14,0.777777777777778,"Norfloxacin","20-49"
"14","Enterococcus faecalis","20-49","VAN",12,2,0.166666666666667,"Vancomycin","20-49"
"15","Enterococcus faecalis","50-64","AMP",8,0,0,"Ampicillin","50-64"
"16","Enterococcus faecalis","50-64","CHL",1,1,1,"Chloramphenicol","50-64"
"17","Enterococcus faecalis","50-64","CIP",2,2,1,"Ciprofloxacin","50-64"
"18","Enterococcus faecalis","50-64","NIT",3,1,0.333333333333333,"Nitrofurantoin","50-64"
"19","Enterococcus faecalis","50-64","NOR",4,2,0.5,"Norfloxacin","50-64"
"20","Enterococcus faecalis","50-64","VAN",4,3,0.75,"Vancomycin","50-64"
"21","Enterococcus faecalis","65+","AMP",2,0,0,"Ampicillin","65+"
"22","Enterococcus faecalis","65+","NIT",1,0,0,"Nitrofurantoin","65+"
"23","Enterococcus faecalis","65+","NOR",2,2,1,"Norfloxacin","65+"
"24","Enterococcus faecalis","65+","VAN",1,0,0,"Vancomycin","65+"
