"","mo_organism","get(par_var_name)","ab_class","n","r","total_R","ab_name","var_name"
"1","Enterococcus faecalis","1-4","Beta-lactams/penicillins",4,1,0.25,"Beta-lactams/penicillins","1-4"
"2","Enterococcus faecalis","1-4","Glycopeptides",4,0,0,"Glycopeptides","1-4"
"3","Enterococcus faecalis","1-4","Quinolones",4,3,0.75,"Quinolones","1-4"
"4","Enterococcus faecalis","5-19","Beta-lactams/penicillins",9,3,0.333333333333333,"Beta-lactams/penicillins","5-19"
"5","Enterococcus faecalis","5-19","Glycopeptides",9,2,0.222222222222222,"Glycopeptides","5-19"
"6","Enterococcus faecalis","5-19","Quinolones",6,5,0.833333333333333,"Quinolones","5-19"
"7","Enterococcus faecalis","20-49","Beta-lactams/penicillins",11,1,0.0909090909090909,"Beta-lactams/penicillins","20-49"
"8","Enterococcus faecalis","20-49","Glycopeptides",12,2,0.166666666666667,"Glycopeptides","20-49"
"9","Enterococcus faecalis","20-49","Quinolones",9,7,0.777777777777778,"Quinolones","20-49"
"10","Enterococcus faecalis","50-64","Beta-lactams/penicillins",4,0,0,"Beta-lactams/penicillins","50-64"
"11","Enterococcus faecalis","50-64","Glycopeptides",4,3,0.75,"Glycopeptides","50-64"
"12","Enterococcus faecalis","50-64","Quinolones",2,2,1,"Quinolones","50-64"
"13","Enterococcus faecalis","65+","Beta-lactams/penicillins",1,0,0,"Beta-lactams/penicillins","65+"
"14","Enterococcus faecalis","65+","Glycopeptides",1,0,0,"Glycopeptides","65+"
"15","Enterococcus faecalis","65+","Quinolones",1,1,1,"Quinolones","65+"
