"","mo_organism","get(par_var_name)","ab","n","r","total_R","ab_name","var_name"
"1","Enterococcus faecalis","F","AMP",32,6,0.1875,"Ampicillin","F"
"2","Enterococcus faecalis","F","CIP",6,2,0.333333333333333,"Ciprofloxacin","F"
"3","Enterococcus faecalis","F","NIT",12,1,0.0833333333333333,"Nitrofurantoin","F"
"4","Enterococcus faecalis","F","NOR",24,16,0.666666666666667,"Norfloxacin","F"
"5","Enterococcus faecalis","F","VAN",16,6,0.375,"Vancomycin","F"
"6","Enterococcus faecalis","M","AMP",26,4,0.153846153846154,"Ampicillin","M"
"7","Enterococcus faecalis","M","CHL",1,1,1,"Chloramphenicol","M"
"8","Enterococcus faecalis","M","CIP",4,2,0.5,"Ciprofloxacin","M"
"9","Enterococcus faecalis","M","NIT",10,1,0.1,"Nitrofurantoin","M"
"10","Enterococcus faecalis","M","NOR",20,18,0.9,"Norfloxacin","M"
"11","Enterococcus faecalis","M","VAN",14,1,0.0714285714285714,"Vancomycin","M"
