"","mo_organism","get(par_var_name)","ab","n","r","total_R","ab_name","var_name"
"1","Enterococcus faecium","1-4","AMP",6,2,0.333333333333333,"Ampicillin","1-4"
"2","Enterococcus faecium","1-4","NIT",2,0,0,"Nitrofurantoin","1-4"
"3","Enterococcus faecium","1-4","NOR",2,0,0,"Norfloxacin","1-4"
"4","Enterococcus faecium","1-4","VAN",3,0,0,"Vancomycin","1-4"
"5","Enterococcus faecium","5-19","AMP",10,6,0.6,"Ampicillin","5-19"
"6","Enterococcus faecium","5-19","CHL",2,0,0,"Chloramphenicol","5-19"
"7","Enterococcus faecium","5-19","CIP",2,2,1,"Ciprofloxacin","5-19"
"8","Enterococcus faecium","5-19","NIT",4,1,0.25,"Nitrofurantoin","5-19"
"9","Enterococcus faecium","5-19","NOR",6,6,1,"Norfloxacin","5-19"
"10","Enterococcus faecium","5-19","VAN",6,4,0.666666666666667,"Vancomycin","5-19"
"11","Enterococcus faecium","20-49","AMP",10,4,0.4,"Ampicillin","20-49"
"12","Enterococcus faecium","20-49","NIT",5,3,0.6,"Nitrofurantoin","20-49"
"13","Enterococcus faecium","20-49","NOR",8,4,0.5,"Norfloxacin","20-49"
"14","Enterococcus faecium","20-49","VAN",5,1,0.2,"Vancomycin","20-49"
"15","Enterococcus faecium","50-64","AMP",2,0,0,"Ampicillin","50-64"
"16","Enterococcus faecium","50-64","VAN",1,0,0,"Vancomycin","50-64"
"17","Enterococcus faecium","65+","AMP",2,0,0,"Ampicillin","65+"
"18","Enterococcus faecium","65+","NIT",1,0,0,"Nitrofurantoin","65+"
"19","Enterococcus faecium","65+","NOR",2,2,1,"Norfloxacin","65+"
"20","Enterococcus faecium","65+","VAN",1,1,1,"Vancomycin","65+"
