"","mo_organism","get(par_var_name)","ab_class","n","r","total_R","ab_name","var_name"
"1","Enterococcus faecium","1-4","Beta-lactams/penicillins",3,1,0.333333333333333,"Beta-lactams/penicillins","1-4"
"2","Enterococcus faecium","1-4","Glycopeptides",3,0,0,"Glycopeptides","1-4"
"3","Enterococcus faecium","1-4","Quinolones",1,0,0,"Quinolones","1-4"
"4","Enterococcus faecium","5-19","Beta-lactams/penicillins",5,3,0.6,"Beta-lactams/penicillins","5-19"
"5","Enterococcus faecium","5-19","Glycopeptides",6,4,0.666666666666667,"Glycopeptides","5-19"
"6","Enterococcus faecium","5-19","Quinolones",4,4,1,"Quinolones","5-19"
"7","Enterococcus faecium","20-49","Beta-lactams/penicillins",5,2,0.4,"Beta-lactams/penicillins","20-49"
"8","Enterococcus faecium","20-49","Glycopeptides",5,1,0.2,"Glycopeptides","20-49"
"9","Enterococcus faecium","20-49","Quinolones",4,2,0.5,"Quinolones","20-49"
"10","Enterococcus faecium","50-64","Beta-lactams/penicillins",1,0,0,"Beta-lactams/penicillins","50-64"
"11","Enterococcus faecium","50-64","Glycopeptides",1,0,0,"Glycopeptides","50-64"
"12","Enterococcus faecium","65+","Beta-lactams/penicillins",1,0,0,"Beta-lactams/penicillins","65+"
"13","Enterococcus faecium","65+","Glycopeptides",1,1,1,"Glycopeptides","65+"
"14","Enterococcus faecium","65+","Quinolones",1,1,1,"Quinolones","65+"
