"","mo_organism","get(par_var_name)","ab","n","r","total_R","ab_name","var_name"
"1","Enterococcus faecium","F","AMP",18,8,0.444444444444444,"Ampicillin","F"
"2","Enterococcus faecium","F","CHL",2,0,0,"Chloramphenicol","F"
"3","Enterococcus faecium","F","CIP",2,2,1,"Ciprofloxacin","F"
"4","Enterococcus faecium","F","NIT",7,3,0.428571428571429,"Nitrofurantoin","F"
"5","Enterococcus faecium","F","NOR",10,6,0.6,"Norfloxacin","F"
"6","Enterococcus faecium","F","VAN",10,4,0.4,"Vancomycin","F"
"7","Enterococcus faecium","M","AMP",12,4,0.333333333333333,"Ampicillin","M"
"8","Enterococcus faecium","M","NIT",5,1,0.2,"Nitrofurantoin","M"
"9","Enterococcus faecium","M","NOR",8,6,0.75,"Norfloxacin","M"
"10","Enterococcus faecium","M","VAN",6,2,0.333333333333333,"Vancomycin","M"
