"","mo_organism","get(par_var_name)","ab","n","r","total_R","ab_name","var_name"
"1","Enterococcus faecium","Blood","CHL",1,0,0,"Chloramphenicol","Blood"
"2","Enterococcus faecium","Blood","VAN",1,1,1,"Vancomycin","Blood"
"3","Enterococcus faecium","Cerebrospinal Fluid","AMP",2,0,0,"Ampicillin","Cerebrospinal Fluid"
"4","Enterococcus faecium","Cerebrospinal Fluid","VAN",1,0,0,"Vancomycin","Cerebrospinal Fluid"
"5","Enterococcus faecium","Pus","AMP",2,2,1,"Ampicillin","Pus"
"6","Enterococcus faecium","Pus","CHL",1,0,0,"Chloramphenicol","Pus"
"7","Enterococcus faecium","Pus","CIP",2,2,1,"Ciprofloxacin","Pus"
"8","Enterococcus faecium","Pus","VAN",1,0,0,"Vancomycin","Pus"
"9","Enterococcus faecium","Urine","AMP",26,10,0.384615384615385,"Ampicillin","Urine"
"10","Enterococcus faecium","Urine","NIT",12,4,0.333333333333333,"Nitrofurantoin","Urine"
"11","Enterococcus faecium","Urine","NOR",18,12,0.666666666666667,"Norfloxacin","Urine"
"12","Enterococcus faecium","Urine","VAN",13,5,0.384615384615385,"Vancomycin","Urine"
