"","mo_organism","get(par_var_name)","ab","n","r","total_R","ab_name","var_name"
"1","Escherichia coli","1-4","AMK",4,0,0,"Amikacin","1-4"
"2","Escherichia coli","1-4","AMP",6,4,0.666666666666667,"Ampicillin","1-4"
"3","Escherichia coli","1-4","CAZ",10,4,0.4,"Ceftazidime","1-4"
"4","Escherichia coli","1-4","CRO",10,6,0.6,"Ceftriaxone","1-4"
"5","Escherichia coli","1-4","CTX",16,12,0.75,"Cefotaxime","1-4"
"6","Escherichia coli","1-4","CZO",2,2,1,"Cefazolin","1-4"
"7","Escherichia coli","1-4","ETP",4,0,0,"Ertapenem","1-4"
"8","Escherichia coli","1-4","FEP",8,2,0.25,"Cefepime","1-4"
"9","Escherichia coli","1-4","IPM",2,0,0,"Imipenem","1-4"
"10","Escherichia coli","1-4","MEM",16,2,0.125,"Meropenem","1-4"
"11","Escherichia coli","1-4","NAL",5,2,0.4,"Nalidixic acid","1-4"
"12","Escherichia coli","1-4","NIT",5,0,0,"Nitrofurantoin","1-4"
"13","Escherichia coli","1-4","NOR",4,2,0.5,"Norfloxacin","1-4"
"14","Escherichia coli","1-4","TZP",18,6,0.333333333333333,"Piperacillin/tazobactam","1-4"
"15","Escherichia coli","5-19","AMK",16,3,0.1875,"Amikacin","5-19"
"16","Escherichia coli","5-19","AMP",30,28,0.933333333333333,"Ampicillin","5-19"
"17","Escherichia coli","5-19","CAZ",32,16,0.5,"Ceftazidime","5-19"
"18","Escherichia coli","5-19","CHL",1,0,0,"Chloramphenicol","5-19"
"19","Escherichia coli","5-19","CIP",4,2,0.5,"Ciprofloxacin","5-19"
"20","Escherichia coli","5-19","CRO",38,34,0.894736842105263,"Ceftriaxone","5-19"
"21","Escherichia coli","5-19","CTX",32,24,0.75,"Cefotaxime","5-19"
"22","Escherichia coli","5-19","CZO",6,6,1,"Cefazolin","5-19"
"23","Escherichia coli","5-19","ETP",6,0,0,"Ertapenem","5-19"
"24","Escherichia coli","5-19","FEP",22,14,0.636363636363636,"Cefepime","5-19"
"25","Escherichia coli","5-19","GEN",1,1,1,"Gentamicin","5-19"
"26","Escherichia coli","5-19","IPM",8,0,0,"Imipenem","5-19"
"27","Escherichia coli","5-19","MEM",40,4,0.1,"Meropenem","5-19"
"28","Escherichia coli","5-19","NAL",8,6,0.75,"Nalidixic acid","5-19"
"29","Escherichia coli","5-19","NIT",11,2,0.181818181818182,"Nitrofurantoin","5-19"
"30","Escherichia coli","5-19","NOR",16,10,0.625,"Norfloxacin","5-19"
"31","Escherichia coli","5-19","TZP",63,36,0.571428571428571,"Piperacillin/tazobactam","5-19"
"32","Escherichia coli","20-49","AMK",24,4,0.166666666666667,"Amikacin","20-49"
"33","Escherichia coli","20-49","AMP",36,32,0.888888888888889,"Ampicillin","20-49"
"34","Escherichia coli","20-49","CAZ",48,10,0.208333333333333,"Ceftazidime","20-49"
"35","Escherichia coli","20-49","CHL",1,0,0,"Chloramphenicol","20-49"
"36","Escherichia coli","20-49","CIP",8,4,0.5,"Ciprofloxacin","20-49"
"37","Escherichia coli","20-49","CRO",60,30,0.5,"Ceftriaxone","20-49"
"38","Escherichia coli","20-49","CTX",58,40,0.689655172413793,"Cefotaxime","20-49"
"39","Escherichia coli","20-49","CZO",12,6,0.5,"Cefazolin","20-49"
"40","Escherichia coli","20-49","ETP",4,0,0,"Ertapenem","20-49"
