"","mo_organism","get(par_var_name)","ab_class","n","r","total_R","ab_name","var_name"
"1","Escherichia coli","1-4","Aminoglycosides",4,0,0,"Aminoglycosides","1-4"
"2","Escherichia coli","1-4","Beta-lactams/penicillins",7,4,0.571428571428571,"Beta-lactams/penicillins","1-4"
"3","Escherichia coli","1-4","Carbapenems",8,1,0.125,"Carbapenems","1-4"
"4","Escherichia coli","1-4","Cephalosporins (1st gen.)",1,1,1,"Cephalosporins (1st gen.)","1-4"
"5","Escherichia coli","1-4","Cephalosporins (3rd gen.)",8,6,0.75,"Cephalosporins (3rd gen.)","1-4"
"6","Escherichia coli","1-4","Cephalosporins (4th gen.)",4,1,0.25,"Cephalosporins (4th gen.)","1-4"
"7","Escherichia coli","1-4","Quinolones",5,2,0.4,"Quinolones","1-4"
"8","Escherichia coli","5-19","Aminoglycosides",16,4,0.25,"Aminoglycosides","5-19"
"9","Escherichia coli","5-19","Beta-lactams/penicillins",24,18,0.75,"Beta-lactams/penicillins","5-19"
"10","Escherichia coli","5-19","Carbapenems",21,2,0.0952380952380952,"Carbapenems","5-19"
"11","Escherichia coli","5-19","Cephalosporins (1st gen.)",3,3,1,"Cephalosporins (1st gen.)","5-19"
"12","Escherichia coli","5-19","Cephalosporins (3rd gen.)",24,19,0.791666666666667,"Cephalosporins (3rd gen.)","5-19"
"13","Escherichia coli","5-19","Cephalosporins (4th gen.)",11,7,0.636363636363636,"Cephalosporins (4th gen.)","5-19"
"14","Escherichia coli","5-19","Quinolones",12,9,0.75,"Quinolones","5-19"
"15","Escherichia coli","20-49","Aminoglycosides",24,4,0.166666666666667,"Aminoglycosides","20-49"
"16","Escherichia coli","20-49","Beta-lactams/penicillins",29,21,0.724137931034483,"Beta-lactams/penicillins","20-49"
"17","Escherichia coli","20-49","Carbapenems",32,2,0.0625,"Carbapenems","20-49"
"18","Escherichia coli","20-49","Cephalosporins (1st gen.)",6,3,0.5,"Cephalosporins (1st gen.)","20-49"
"19","Escherichia coli","20-49","Cephalosporins (3rd gen.)",35,22,0.628571428571429,"Cephalosporins (3rd gen.)","20-49"
"20","Escherichia coli","20-49","Cephalosporins (4th gen.)",16,6,0.375,"Cephalosporins (4th gen.)","20-49"
"21","Escherichia coli","20-49","Quinolones",21,13,0.619047619047619,"Quinolones","20-49"
"22","Escherichia coli","50-64","Aminoglycosides",4,1,0.25,"Aminoglycosides","50-64"
"23","Escherichia coli","50-64","Beta-lactams/penicillins",6,4,0.666666666666667,"Beta-lactams/penicillins","50-64"
"24","Escherichia coli","50-64","Carbapenems",5,0,0,"Carbapenems","50-64"
"25","Escherichia coli","50-64","Cephalosporins (1st gen.)",2,2,1,"Cephalosporins (1st gen.)","50-64"
"26","Escherichia coli","50-64","Cephalosporins (3rd gen.)",6,5,0.833333333333333,"Cephalosporins (3rd gen.)","50-64"
"27","Escherichia coli","50-64","Cephalosporins (4th gen.)",3,2,0.666666666666667,"Cephalosporins (4th gen.)","50-64"
"28","Escherichia coli","50-64","Quinolones",5,3,0.6,"Quinolones","50-64"
"29","Escherichia coli","65+","Aminoglycosides",4,0,0,"Aminoglycosides","65+"
"30","Escherichia coli","65+","Beta-lactams/penicillins",8,6,0.75,"Beta-lactams/penicillins","65+"
"31","Escherichia coli","65+","Carbapenems",8,1,0.125,"Carbapenems","65+"
"32","Escherichia coli","65+","Cephalosporins (1st gen.)",2,1,0.5,"Cephalosporins (1st gen.)","65+"
"33","Escherichia coli","65+","Cephalosporins (3rd gen.)",8,4,0.5,"Cephalosporins (3rd gen.)","65+"
"34","Escherichia coli","65+","Cephalosporins (4th gen.)",2,1,0.5,"Cephalosporins (4th gen.)","65+"
"35","Escherichia coli","65+","Quinolones",3,2,0.666666666666667,"Quinolones","65+"
