"","mo_organism","get(par_var_name)","ab","n","r","total_R","ab_name","var_name"
"1","Escherichia coli","F","AMK",37,5,0.135135135135135,"Amikacin","F"
"2","Escherichia coli","F","AMP",68,62,0.911764705882353,"Ampicillin","F"
"3","Escherichia coli","F","CAZ",78,26,0.333333333333333,"Ceftazidime","F"
"4","Escherichia coli","F","CHL",2,0,0,"Chloramphenicol","F"
"5","Escherichia coli","F","CIP",8,4,0.5,"Ciprofloxacin","F"
"6","Escherichia coli","F","CRO",92,60,0.652173913043478,"Ceftriaxone","F"
"7","Escherichia coli","F","CTX",90,64,0.711111111111111,"Cefotaxime","F"
"8","Escherichia coli","F","CZO",24,16,0.666666666666667,"Cefazolin","F"
"9","Escherichia coli","F","ETP",16,0,0,"Ertapenem","F"
"10","Escherichia coli","F","FEP",46,16,0.347826086956522,"Cefepime","F"
"11","Escherichia coli","F","GEN",1,0,0,"Gentamicin","F"
"12","Escherichia coli","F","IPM",18,0,0,"Imipenem","F"
"13","Escherichia coli","F","MEM",104,6,0.0576923076923077,"Meropenem","F"
"14","Escherichia coli","F","NAL",29,17,0.586206896551724,"Nalidixic acid","F"
"15","Escherichia coli","F","NIT",33,4,0.121212121212121,"Nitrofurantoin","F"
"16","Escherichia coli","F","NOR",48,26,0.541666666666667,"Norfloxacin","F"
"17","Escherichia coli","F","TZP",141,39,0.276595744680851,"Piperacillin/tazobactam","F"
"18","Escherichia coli","M","AMK",15,3,0.2,"Amikacin","M"
"19","Escherichia coli","M","AMP",24,20,0.833333333333333,"Ampicillin","M"
"20","Escherichia coli","M","CAZ",30,14,0.466666666666667,"Ceftazidime","M"
"21","Escherichia coli","M","CHL",3,1,0.333333333333333,"Chloramphenicol","M"
"22","Escherichia coli","M","CIP",4,2,0.5,"Ciprofloxacin","M"
"23","Escherichia coli","M","CRO",32,22,0.6875,"Ceftriaxone","M"
"24","Escherichia coli","M","CTX",38,28,0.736842105263158,"Cefotaxime","M"
"25","Escherichia coli","M","CZO",4,4,1,"Cefazolin","M"
"26","Escherichia coli","M","ETP",2,0,0,"Ertapenem","M"
"27","Escherichia coli","M","FEP",26,18,0.692307692307692,"Cefepime","M"
"28","Escherichia coli","M","GEN",1,1,1,"Gentamicin","M"
"29","Escherichia coli","M","IPM",14,2,0.142857142857143,"Imipenem","M"
"30","Escherichia coli","M","MEM",40,4,0.1,"Meropenem","M"
"31","Escherichia coli","M","NAL",7,5,0.714285714285714,"Nalidixic acid","M"
"32","Escherichia coli","M","NIT",9,0,0,"Nitrofurantoin","M"
"33","Escherichia coli","M","NOR",12,6,0.5,"Norfloxacin","M"
"34","Escherichia coli","M","TZP",60,36,0.6,"Piperacillin/tazobactam","M"
