"","mo_organism","get(par_var_name)","ab_class","n","r","total_R","ab_name","var_name"
"1","Escherichia coli","F","Aminoglycosides",37,5,0.135135135135135,"Aminoglycosides","F"
"2","Escherichia coli","F","Beta-lactams/penicillins",53,37,0.69811320754717,"Beta-lactams/penicillins","F"
"3","Escherichia coli","F","Carbapenems",53,3,0.0566037735849057,"Carbapenems","F"
"4","Escherichia coli","F","Cephalosporins (1st gen.)",12,8,0.666666666666667,"Cephalosporins (1st gen.)","F"
"5","Escherichia coli","F","Cephalosporins (3rd gen.)",57,40,0.701754385964912,"Cephalosporins (3rd gen.)","F"
"6","Escherichia coli","F","Cephalosporins (4th gen.)",23,8,0.347826086956522,"Cephalosporins (4th gen.)","F"
"7","Escherichia coli","F","Quinolones",36,22,0.611111111111111,"Quinolones","F"
"8","Escherichia coli","M","Aminoglycosides",15,4,0.266666666666667,"Aminoglycosides","M"
"9","Escherichia coli","M","Beta-lactams/penicillins",21,16,0.761904761904762,"Beta-lactams/penicillins","M"
"10","Escherichia coli","M","Carbapenems",21,3,0.142857142857143,"Carbapenems","M"
"11","Escherichia coli","M","Cephalosporins (1st gen.)",2,2,1,"Cephalosporins (1st gen.)","M"
"12","Escherichia coli","M","Cephalosporins (3rd gen.)",24,16,0.666666666666667,"Cephalosporins (3rd gen.)","M"
"13","Escherichia coli","M","Cephalosporins (4th gen.)",13,9,0.692307692307692,"Cephalosporins (4th gen.)","M"
"14","Escherichia coli","M","Quinolones",10,7,0.7,"Quinolones","M"
