"","mo_organism","get(par_var_name)","ab","n","r","total_R","ab_name","var_name"
"1","Escherichia coli","Blood","AMK",3,0,0,"Amikacin","Blood"
"2","Escherichia coli","Blood","CAZ",4,2,0.5,"Ceftazidime","Blood"
"3","Escherichia coli","Blood","CHL",1,0,0,"Chloramphenicol","Blood"
"4","Escherichia coli","Blood","CRO",6,6,1,"Ceftriaxone","Blood"
"5","Escherichia coli","Blood","CTX",6,6,1,"Cefotaxime","Blood"
"6","Escherichia coli","Blood","ETP",4,0,0,"Ertapenem","Blood"
"7","Escherichia coli","Blood","FEP",6,6,1,"Cefepime","Blood"
"8","Escherichia coli","Blood","GEN",1,0,0,"Gentamicin","Blood"
"9","Escherichia coli","Blood","IPM",2,0,0,"Imipenem","Blood"
"10","Escherichia coli","Blood","MEM",6,2,0.333333333333333,"Meropenem","Blood"
"11","Escherichia coli","Blood","TZP",9,9,1,"Piperacillin/tazobactam","Blood"
"12","Escherichia coli","Cerebrospinal Fluid","AMK",7,0,0,"Amikacin","Cerebrospinal Fluid"
"13","Escherichia coli","Cerebrospinal Fluid","AMP",12,12,1,"Ampicillin","Cerebrospinal Fluid"
"14","Escherichia coli","Cerebrospinal Fluid","CAZ",10,8,0.8,"Ceftazidime","Cerebrospinal Fluid"
"15","Escherichia coli","Cerebrospinal Fluid","CRO",14,14,1,"Ceftriaxone","Cerebrospinal Fluid"
"16","Escherichia coli","Cerebrospinal Fluid","CTX",8,8,1,"Cefotaxime","Cerebrospinal Fluid"
"17","Escherichia coli","Cerebrospinal Fluid","FEP",10,8,0.8,"Cefepime","Cerebrospinal Fluid"
"18","Escherichia coli","Cerebrospinal Fluid","MEM",10,0,0,"Meropenem","Cerebrospinal Fluid"
"19","Escherichia coli","Cerebrospinal Fluid","TZP",24,15,0.625,"Piperacillin/tazobactam","Cerebrospinal Fluid"
"20","Escherichia coli","Genital","AMP",2,2,1,"Ampicillin","Genital"
"21","Escherichia coli","Genital","CRO",2,0,0,"Ceftriaxone","Genital"
"22","Escherichia coli","Genital","CTX",2,0,0,"Cefotaxime","Genital"
"23","Escherichia coli","Genital","MEM",2,0,0,"Meropenem","Genital"
"24","Escherichia coli","Genital","TZP",3,3,1,"Piperacillin/tazobactam","Genital"
"25","Escherichia coli","Other","AMK",2,0,0,"Amikacin","Other"
"26","Escherichia coli","Other","AMP",4,4,1,"Ampicillin","Other"
"27","Escherichia coli","Other","CAZ",4,0,0,"Ceftazidime","Other"
"28","Escherichia coli","Other","CIP",4,4,1,"Ciprofloxacin","Other"
"29","Escherichia coli","Other","CRO",4,4,1,"Ceftriaxone","Other"
"30","Escherichia coli","Other","CTX",4,4,1,"Cefotaxime","Other"
"31","Escherichia coli","Other","FEP",4,0,0,"Cefepime","Other"
"32","Escherichia coli","Other","MEM",4,0,0,"Meropenem","Other"
"33","Escherichia coli","Other","TZP",6,0,0,"Piperacillin/tazobactam","Other"
"34","Escherichia coli","Pus","AMK",13,0,0,"Amikacin","Pus"
"35","Escherichia coli","Pus","AMP",28,28,1,"Ampicillin","Pus"
"36","Escherichia coli","Pus","CAZ",24,8,0.333333333333333,"Ceftazidime","Pus"
"37","Escherichia coli","Pus","CHL",2,0,0,"Chloramphenicol","Pus"
"38","Escherichia coli","Pus","CIP",4,0,0,"Ciprofloxacin","Pus"
"39","Escherichia coli","Pus","CRO",32,20,0.625,"Ceftriaxone","Pus"
"40","Escherichia coli","Pus","CTX",34,28,0.823529411764706,"Cefotaxime","Pus"
"41","Escherichia coli","Pus","CZO",2,0,0,"Cefazolin","Pus"
"42","Escherichia coli","Pus","ETP",14,0,0,"Ertapenem","Pus"
"43","Escherichia coli","Pus","FEP",14,10,0.714285714285714,"Cefepime","Pus"
"44","Escherichia coli","Pus","GEN",1,1,1,"Gentamicin","Pus"
"45","Escherichia coli","Pus","IPM",22,0,0,"Imipenem","Pus"
"46","Escherichia coli","Pus","MEM",38,0,0,"Meropenem","Pus"
"47","Escherichia coli","Pus","TZP",36,12,0.333333333333333,"Piperacillin/tazobactam","Pus"
"48","Escherichia coli","Sputum","AMK",2,0,0,"Amikacin","Sputum"
"49","Escherichia coli","Sputum","AMP",8,4,0.5,"Ampicillin","Sputum"
"50","Escherichia coli","Sputum","CAZ",6,2,0.333333333333333,"Ceftazidime","Sputum"
"51","Escherichia coli","Sputum","CHL",2,1,0.5,"Chloramphenicol","Sputum"
"52","Escherichia coli","Sputum","CRO",4,2,0.5,"Ceftriaxone","Sputum"
"53","Escherichia coli","Sputum","IPM",8,2,0.25,"Imipenem","Sputum"
"54","Escherichia coli","Sputum","MEM",6,0,0,"Meropenem","Sputum"
"55","Escherichia coli","Sputum","TZP",12,3,0.25,"Piperacillin/tazobactam","Sputum"
"56","Escherichia coli","Urine","AMK",25,8,0.32,"Amikacin","Urine"
"57","Escherichia coli","Urine","AMP",38,32,0.842105263157895,"Ampicillin","Urine"
"58","Escherichia coli","Urine","CAZ",60,20,0.333333333333333,"Ceftazidime","Urine"
"59","Escherichia coli","Urine","CIP",4,2,0.5,"Ciprofloxacin","Urine"
"60","Escherichia coli","Urine","CRO",62,36,0.580645161290323,"Ceftriaxone","Urine"
"61","Escherichia coli","Urine","CTX",74,46,0.621621621621622,"Cefotaxime","Urine"
"62","Escherichia coli","Urine","CZO",26,20,0.769230769230769,"Cefazolin","Urine"
"63","Escherichia coli","Urine","FEP",38,10,0.263157894736842,"Cefepime","Urine"
"64","Escherichia coli","Urine","MEM",78,8,0.102564102564103,"Meropenem","Urine"
"65","Escherichia coli","Urine","NAL",36,22,0.611111111111111,"Nalidixic acid","Urine"
"66","Escherichia coli","Urine","NIT",42,4,0.0952380952380952,"Nitrofurantoin","Urine"
