"","mo_organism","get(par_var_name)","ab_class","n","r","total_R","ab_name","var_name"
"1","Escherichia coli","Blood","Aminoglycosides",3,0,0,"Aminoglycosides","Blood"
"2","Escherichia coli","Blood","Beta-lactams/penicillins",3,3,1,"Beta-lactams/penicillins","Blood"
"3","Escherichia coli","Blood","Carbapenems",3,1,0.333333333333333,"Carbapenems","Blood"
"4","Escherichia coli","Blood","Cephalosporins (3rd gen.)",3,3,1,"Cephalosporins (3rd gen.)","Blood"
"5","Escherichia coli","Blood","Cephalosporins (4th gen.)",3,3,1,"Cephalosporins (4th gen.)","Blood"
"6","Escherichia coli","Cerebrospinal Fluid","Aminoglycosides",7,0,0,"Aminoglycosides","Cerebrospinal Fluid"
"7","Escherichia coli","Cerebrospinal Fluid","Beta-lactams/penicillins",8,7,0.875,"Beta-lactams/penicillins","Cerebrospinal Fluid"
"8","Escherichia coli","Cerebrospinal Fluid","Carbapenems",5,0,0,"Carbapenems","Cerebrospinal Fluid"
"9","Escherichia coli","Cerebrospinal Fluid","Cephalosporins (3rd gen.)",8,8,1,"Cephalosporins (3rd gen.)","Cerebrospinal Fluid"
"10","Escherichia coli","Cerebrospinal Fluid","Cephalosporins (4th gen.)",5,4,0.8,"Cephalosporins (4th gen.)","Cerebrospinal Fluid"
"11","Escherichia coli","Genital","Beta-lactams/penicillins",1,1,1,"Beta-lactams/penicillins","Genital"
"12","Escherichia coli","Genital","Carbapenems",1,0,0,"Carbapenems","Genital"
"13","Escherichia coli","Genital","Cephalosporins (3rd gen.)",1,0,0,"Cephalosporins (3rd gen.)","Genital"
"14","Escherichia coli","Other","Aminoglycosides",2,0,0,"Aminoglycosides","Other"
"15","Escherichia coli","Other","Beta-lactams/penicillins",2,2,1,"Beta-lactams/penicillins","Other"
"16","Escherichia coli","Other","Carbapenems",2,0,0,"Carbapenems","Other"
"17","Escherichia coli","Other","Cephalosporins (3rd gen.)",2,2,1,"Cephalosporins (3rd gen.)","Other"
"18","Escherichia coli","Other","Cephalosporins (4th gen.)",2,0,0,"Cephalosporins (4th gen.)","Other"
"19","Escherichia coli","Other","Quinolones",2,2,1,"Quinolones","Other"
"20","Escherichia coli","Pus","Aminoglycosides",13,1,0.0769230769230769,"Aminoglycosides","Pus"
"21","Escherichia coli","Pus","Beta-lactams/penicillins",17,16,0.941176470588235,"Beta-lactams/penicillins","Pus"
"22","Escherichia coli","Pus","Carbapenems",20,0,0,"Carbapenems","Pus"
"23","Escherichia coli","Pus","Cephalosporins (1st gen.)",1,0,0,"Cephalosporins (1st gen.)","Pus"
"24","Escherichia coli","Pus","Cephalosporins (3rd gen.)",20,15,0.75,"Cephalosporins (3rd gen.)","Pus"
"25","Escherichia coli","Pus","Cephalosporins (4th gen.)",7,5,0.714285714285714,"Cephalosporins (4th gen.)","Pus"
"26","Escherichia coli","Pus","Quinolones",2,0,0,"Quinolones","Pus"
"27","Escherichia coli","Sputum","Aminoglycosides",2,0,0,"Aminoglycosides","Sputum"
"28","Escherichia coli","Sputum","Beta-lactams/penicillins",4,2,0.5,"Beta-lactams/penicillins","Sputum"
"29","Escherichia coli","Sputum","Carbapenems",4,1,0.25,"Carbapenems","Sputum"
"30","Escherichia coli","Sputum","Cephalosporins (3rd gen.)",5,2,0.4,"Cephalosporins (3rd gen.)","Sputum"
"31","Escherichia coli","Urine","Aminoglycosides",25,8,0.32,"Aminoglycosides","Urine"
"32","Escherichia coli","Urine","Beta-lactams/penicillins",39,22,0.564102564102564,"Beta-lactams/penicillins","Urine"
"33","Escherichia coli","Urine","Carbapenems",39,4,0.102564102564103,"Carbapenems","Urine"
"34","Escherichia coli","Urine","Cephalosporins (1st gen.)",13,10,0.769230769230769,"Cephalosporins (1st gen.)","Urine"
"35","Escherichia coli","Urine","Cephalosporins (3rd gen.)",42,26,0.619047619047619,"Cephalosporins (3rd gen.)","Urine"
"36","Escherichia coli","Urine","Cephalosporins (4th gen.)",19,5,0.263157894736842,"Cephalosporins (4th gen.)","Urine"
"37","Escherichia coli","Urine","Quinolones",42,27,0.642857142857143,"Quinolones","Urine"
