"","mo_organism","get(par_var_name)","ab","n","r","total_R","ab_name","var_name"
"1","Klebsiella pneumoniae","1-4","CAZ",2,2,1,"Ceftazidime","1-4"
"2","Klebsiella pneumoniae","1-4","CRO",2,2,1,"Ceftriaxone","1-4"
"3","Klebsiella pneumoniae","1-4","CTX",2,2,1,"Cefotaxime","1-4"
"4","Klebsiella pneumoniae","1-4","CZO",2,2,1,"Cefazolin","1-4"
"5","Klebsiella pneumoniae","1-4","MEM",2,0,0,"Meropenem","1-4"
"6","Klebsiella pneumoniae","1-4","NIT",1,0,0,"Nitrofurantoin","1-4"
"7","Klebsiella pneumoniae","1-4","NOR",2,0,0,"Norfloxacin","1-4"
"8","Klebsiella pneumoniae","1-4","TZP",3,3,1,"Piperacillin/tazobactam","1-4"
"9","Klebsiella pneumoniae","5-19","AMK",13,4,0.307692307692308,"Amikacin","5-19"
"10","Klebsiella pneumoniae","5-19","CAZ",28,12,0.428571428571429,"Ceftazidime","5-19"
"11","Klebsiella pneumoniae","5-19","CIP",2,0,0,"Ciprofloxacin","5-19"
"12","Klebsiella pneumoniae","5-19","CRO",30,14,0.466666666666667,"Ceftriaxone","5-19"
"13","Klebsiella pneumoniae","5-19","CTX",34,18,0.529411764705882,"Cefotaxime","5-19"
"14","Klebsiella pneumoniae","5-19","CZO",14,10,0.714285714285714,"Cefazolin","5-19"
"15","Klebsiella pneumoniae","5-19","FEP",18,8,0.444444444444444,"Cefepime","5-19"
"16","Klebsiella pneumoniae","5-19","GEN",1,1,1,"Gentamicin","5-19"
"17","Klebsiella pneumoniae","5-19","IPM",4,0,0,"Imipenem","5-19"
"18","Klebsiella pneumoniae","5-19","MEM",34,0,0,"Meropenem","5-19"
"19","Klebsiella pneumoniae","5-19","NAL",11,9,0.818181818181818,"Nalidixic acid","5-19"
"20","Klebsiella pneumoniae","5-19","NIT",14,1,0.0714285714285714,"Nitrofurantoin","5-19"
"21","Klebsiella pneumoniae","5-19","NOR",20,6,0.3,"Norfloxacin","5-19"
"22","Klebsiella pneumoniae","5-19","TZP",54,18,0.333333333333333,"Piperacillin/tazobactam","5-19"
"23","Klebsiella pneumoniae","20-49","AMK",16,0,0,"Amikacin","20-49"
"24","Klebsiella pneumoniae","20-49","CAZ",34,14,0.411764705882353,"Ceftazidime","20-49"
"25","Klebsiella pneumoniae","20-49","CIP",4,0,0,"Ciprofloxacin","20-49"
"26","Klebsiella pneumoniae","20-49","CRO",38,28,0.736842105263158,"Ceftriaxone","20-49"
"27","Klebsiella pneumoniae","20-49","CTX",48,30,0.625,"Cefotaxime","20-49"
"28","Klebsiella pneumoniae","20-49","CZO",16,12,0.75,"Cefazolin","20-49"
"29","Klebsiella pneumoniae","20-49","ETP",6,0,0,"Ertapenem","20-49"
"30","Klebsiella pneumoniae","20-49","FEP",26,8,0.307692307692308,"Cefepime","20-49"
