"","mo_organism","get(par_var_name)","ab","n","r","total_R","ab_name","var_name"
"1","Klebsiella pneumoniae","F","AMK",24,4,0.166666666666667,"Amikacin","F"
"2","Klebsiella pneumoniae","F","CAZ",56,26,0.464285714285714,"Ceftazidime","F"
"3","Klebsiella pneumoniae","F","CHL",2,0,0,"Chloramphenicol","F"
"4","Klebsiella pneumoniae","F","CIP",6,2,0.333333333333333,"Ciprofloxacin","F"
"5","Klebsiella pneumoniae","F","CRO",68,40,0.588235294117647,"Ceftriaxone","F"
"6","Klebsiella pneumoniae","F","CTX",70,38,0.542857142857143,"Cefotaxime","F"
"7","Klebsiella pneumoniae","F","CZO",24,18,0.75,"Cefazolin","F"
"8","Klebsiella pneumoniae","F","ETP",4,0,0,"Ertapenem","F"
"9","Klebsiella pneumoniae","F","FEP",36,16,0.444444444444444,"Cefepime","F"
"10","Klebsiella pneumoniae","F","GEN",1,1,1,"Gentamicin","F"
"11","Klebsiella pneumoniae","F","IPM",16,0,0,"Imipenem","F"
"12","Klebsiella pneumoniae","F","MEM",74,0,0,"Meropenem","F"
"13","Klebsiella pneumoniae","F","NAL",19,11,0.578947368421053,"Nalidixic acid","F"
"14","Klebsiella pneumoniae","F","NIT",28,4,0.142857142857143,"Nitrofurantoin","F"
"15","Klebsiella pneumoniae","F","NOR",46,16,0.347826086956522,"Norfloxacin","F"
"16","Klebsiella pneumoniae","F","TZP",117,39,0.333333333333333,"Piperacillin/tazobactam","F"
"17","Klebsiella pneumoniae","M","AMK",14,2,0.142857142857143,"Amikacin","M"
"18","Klebsiella pneumoniae","M","CAZ",28,14,0.5,"Ceftazidime","M"
"19","Klebsiella pneumoniae","M","CHL",1,0,0,"Chloramphenicol","M"
"20","Klebsiella pneumoniae","M","CIP",2,0,0,"Ciprofloxacin","M"
"21","Klebsiella pneumoniae","M","CRO",30,24,0.8,"Ceftriaxone","M"
"22","Klebsiella pneumoniae","M","CTX",38,32,0.842105263157895,"Cefotaxime","M"
"23","Klebsiella pneumoniae","M","CZO",20,14,0.7,"Cefazolin","M"
"24","Klebsiella pneumoniae","M","ETP",6,0,0,"Ertapenem","M"
"25","Klebsiella pneumoniae","M","FEP",22,10,0.454545454545455,"Cefepime","M"
"26","Klebsiella pneumoniae","M","IPM",8,0,0,"Imipenem","M"
"27","Klebsiella pneumoniae","M","MEM",40,0,0,"Meropenem","M"
"28","Klebsiella pneumoniae","M","NAL",12,10,0.833333333333333,"Nalidixic acid","M"
"29","Klebsiella pneumoniae","M","NIT",13,1,0.0769230769230769,"Nitrofurantoin","M"
"30","Klebsiella pneumoniae","M","NOR",20,10,0.5,"Norfloxacin","M"
"31","Klebsiella pneumoniae","M","TZP",54,15,0.277777777777778,"Piperacillin/tazobactam","M"
