"","mo_organism","get(par_var_name)","ab_class","n","r","total_R","ab_name","var_name"
"1","Klebsiella pneumoniae","F","Aminoglycosides",24,4,0.166666666666667,"Aminoglycosides","F"
"2","Klebsiella pneumoniae","F","Beta-lactams/penicillins",39,13,0.333333333333333,"Beta-lactams/penicillins","F"
"3","Klebsiella pneumoniae","F","Carbapenems",38,0,0,"Carbapenems","F"
"4","Klebsiella pneumoniae","F","Cephalosporins (1st gen.)",12,9,0.75,"Cephalosporins (1st gen.)","F"
"5","Klebsiella pneumoniae","F","Cephalosporins (3rd gen.)",43,25,0.581395348837209,"Cephalosporins (3rd gen.)","F"
"6","Klebsiella pneumoniae","F","Cephalosporins (4th gen.)",18,8,0.444444444444444,"Cephalosporins (4th gen.)","F"
"7","Klebsiella pneumoniae","F","Quinolones",30,14,0.466666666666667,"Quinolones","F"
"8","Klebsiella pneumoniae","M","Aminoglycosides",14,2,0.142857142857143,"Aminoglycosides","M"
"9","Klebsiella pneumoniae","M","Beta-lactams/penicillins",18,5,0.277777777777778,"Beta-lactams/penicillins","M"
"10","Klebsiella pneumoniae","M","Carbapenems",21,0,0,"Carbapenems","M"
"11","Klebsiella pneumoniae","M","Cephalosporins (1st gen.)",10,7,0.7,"Cephalosporins (1st gen.)","M"
"12","Klebsiella pneumoniae","M","Cephalosporins (3rd gen.)",22,18,0.818181818181818,"Cephalosporins (3rd gen.)","M"
"13","Klebsiella pneumoniae","M","Cephalosporins (4th gen.)",11,5,0.454545454545455,"Cephalosporins (4th gen.)","M"
"14","Klebsiella pneumoniae","M","Quinolones",15,10,0.666666666666667,"Quinolones","M"
