"","mo_organism","get(par_var_name)","ab","n","r","total_R","ab_name","var_name"
"1","Klebsiella pneumoniae","Blood","AMK",3,0,0,"Amikacin","Blood"
"2","Klebsiella pneumoniae","Blood","CAZ",4,2,0.5,"Ceftazidime","Blood"
"3","Klebsiella pneumoniae","Blood","CRO",6,6,1,"Ceftriaxone","Blood"
"4","Klebsiella pneumoniae","Blood","CTX",4,4,1,"Cefotaxime","Blood"
"5","Klebsiella pneumoniae","Blood","ETP",4,0,0,"Ertapenem","Blood"
"6","Klebsiella pneumoniae","Blood","FEP",6,2,0.333333333333333,"Cefepime","Blood"
"7","Klebsiella pneumoniae","Blood","MEM",4,0,0,"Meropenem","Blood"
"8","Klebsiella pneumoniae","Blood","TZP",6,3,0.5,"Piperacillin/tazobactam","Blood"
"9","Klebsiella pneumoniae","Other","AMK",3,0,0,"Amikacin","Other"
"10","Klebsiella pneumoniae","Other","CAZ",4,2,0.5,"Ceftazidime","Other"
"11","Klebsiella pneumoniae","Other","CHL",1,0,0,"Chloramphenicol","Other"
"12","Klebsiella pneumoniae","Other","CRO",4,2,0.5,"Ceftriaxone","Other"
"13","Klebsiella pneumoniae","Other","CTX",2,0,0,"Cefotaxime","Other"
"14","Klebsiella pneumoniae","Other","CZO",2,0,0,"Cefazolin","Other"
"15","Klebsiella pneumoniae","Other","ETP",6,0,0,"Ertapenem","Other"
"16","Klebsiella pneumoniae","Other","FEP",2,2,1,"Cefepime","Other"
"17","Klebsiella pneumoniae","Other","IPM",6,0,0,"Imipenem","Other"
"18","Klebsiella pneumoniae","Other","MEM",6,0,0,"Meropenem","Other"
"19","Klebsiella pneumoniae","Other","TZP",3,0,0,"Piperacillin/tazobactam","Other"
"20","Klebsiella pneumoniae","Pus","AMK",6,1,0.166666666666667,"Amikacin","Pus"
"21","Klebsiella pneumoniae","Pus","CAZ",12,2,0.166666666666667,"Ceftazidime","Pus"
"22","Klebsiella pneumoniae","Pus","CHL",2,0,0,"Chloramphenicol","Pus"
"23","Klebsiella pneumoniae","Pus","CIP",4,0,0,"Ciprofloxacin","Pus"
"24","Klebsiella pneumoniae","Pus","CRO",16,14,0.875,"Ceftriaxone","Pus"
"25","Klebsiella pneumoniae","Pus","CTX",18,12,0.666666666666667,"Cefotaxime","Pus"
"26","Klebsiella pneumoniae","Pus","FEP",20,8,0.4,"Cefepime","Pus"
"27","Klebsiella pneumoniae","Pus","GEN",1,1,1,"Gentamicin","Pus"
"28","Klebsiella pneumoniae","Pus","IPM",6,0,0,"Imipenem","Pus"
"29","Klebsiella pneumoniae","Pus","MEM",18,0,0,"Meropenem","Pus"
"30","Klebsiella pneumoniae","Pus","TZP",30,9,0.3,"Piperacillin/tazobactam","Pus"
"31","Klebsiella pneumoniae","Sputum","AMK",2,2,1,"Amikacin","Sputum"
"32","Klebsiella pneumoniae","Sputum","CAZ",2,2,1,"Ceftazidime","Sputum"
"33","Klebsiella pneumoniae","Sputum","CRO",4,2,0.5,"Ceftriaxone","Sputum"
"34","Klebsiella pneumoniae","Sputum","CTX",4,4,1,"Cefotaxime","Sputum"
"35","Klebsiella pneumoniae","Sputum","FEP",2,0,0,"Cefepime","Sputum"
"36","Klebsiella pneumoniae","Sputum","IPM",2,0,0,"Imipenem","Sputum"
"37","Klebsiella pneumoniae","Sputum","MEM",6,0,0,"Meropenem","Sputum"
"38","Klebsiella pneumoniae","Sputum","TZP",12,9,0.75,"Piperacillin/tazobactam","Sputum"
"39","Klebsiella pneumoniae","Urine","AMK",24,3,0.125,"Amikacin","Urine"
"40","Klebsiella pneumoniae","Urine","CAZ",62,32,0.516129032258065,"Ceftazidime","Urine"
"41","Klebsiella pneumoniae","Urine","CIP",4,2,0.5,"Ciprofloxacin","Urine"
"42","Klebsiella pneumoniae","Urine","CRO",68,40,0.588235294117647,"Ceftriaxone","Urine"
"43","Klebsiella pneumoniae","Urine","CTX",80,50,0.625,"Cefotaxime","Urine"
"44","Klebsiella pneumoniae","Urine","CZO",42,32,0.761904761904762,"Cefazolin","Urine"
"45","Klebsiella pneumoniae","Urine","FEP",28,14,0.5,"Cefepime","Urine"
"46","Klebsiella pneumoniae","Urine","IPM",10,0,0,"Imipenem","Urine"
"47","Klebsiella pneumoniae","Urine","MEM",80,0,0,"Meropenem","Urine"
"48","Klebsiella pneumoniae","Urine","NAL",31,21,0.67741935483871,"Nalidixic acid","Urine"
"49","Klebsiella pneumoniae","Urine","NIT",41,5,0.121951219512195,"Nitrofurantoin","Urine"
"50","Klebsiella pneumoniae","Urine","NOR",66,26,0.393939393939394,"Norfloxacin","Urine"
"51","Klebsiella pneumoniae","Urine","TZP",120,33,0.275,"Piperacillin/tazobactam","Urine"
