"","mo_organism","get(par_var_name)","ab_class","n","r","total_R","ab_name","var_name"
"1","Klebsiella pneumoniae","Blood","Aminoglycosides",3,0,0,"Aminoglycosides","Blood"
"2","Klebsiella pneumoniae","Blood","Beta-lactams/penicillins",2,1,0.5,"Beta-lactams/penicillins","Blood"
"3","Klebsiella pneumoniae","Blood","Carbapenems",3,0,0,"Carbapenems","Blood"
"4","Klebsiella pneumoniae","Blood","Cephalosporins (3rd gen.)",3,3,1,"Cephalosporins (3rd gen.)","Blood"
"5","Klebsiella pneumoniae","Blood","Cephalosporins (4th gen.)",3,1,0.333333333333333,"Cephalosporins (4th gen.)","Blood"
"6","Klebsiella pneumoniae","Other","Aminoglycosides",3,0,0,"Aminoglycosides","Other"
"7","Klebsiella pneumoniae","Other","Beta-lactams/penicillins",1,0,0,"Beta-lactams/penicillins","Other"
"8","Klebsiella pneumoniae","Other","Carbapenems",3,0,0,"Carbapenems","Other"
"9","Klebsiella pneumoniae","Other","Cephalosporins (1st gen.)",1,0,0,"Cephalosporins (1st gen.)","Other"
"10","Klebsiella pneumoniae","Other","Cephalosporins (3rd gen.)",2,1,0.5,"Cephalosporins (3rd gen.)","Other"
"11","Klebsiella pneumoniae","Other","Cephalosporins (4th gen.)",1,1,1,"Cephalosporins (4th gen.)","Other"
"12","Klebsiella pneumoniae","Pus","Aminoglycosides",6,1,0.166666666666667,"Aminoglycosides","Pus"
"13","Klebsiella pneumoniae","Pus","Beta-lactams/penicillins",10,3,0.3,"Beta-lactams/penicillins","Pus"
"14","Klebsiella pneumoniae","Pus","Carbapenems",9,0,0,"Carbapenems","Pus"
"15","Klebsiella pneumoniae","Pus","Cephalosporins (3rd gen.)",11,9,0.818181818181818,"Cephalosporins (3rd gen.)","Pus"
"16","Klebsiella pneumoniae","Pus","Cephalosporins (4th gen.)",10,4,0.4,"Cephalosporins (4th gen.)","Pus"
"17","Klebsiella pneumoniae","Pus","Quinolones",2,0,0,"Quinolones","Pus"
"18","Klebsiella pneumoniae","Sputum","Aminoglycosides",2,2,1,"Aminoglycosides","Sputum"
"19","Klebsiella pneumoniae","Sputum","Beta-lactams/penicillins",4,3,0.75,"Beta-lactams/penicillins","Sputum"
"20","Klebsiella pneumoniae","Sputum","Carbapenems",3,0,0,"Carbapenems","Sputum"
"21","Klebsiella pneumoniae","Sputum","Cephalosporins (3rd gen.)",4,3,0.75,"Cephalosporins (3rd gen.)","Sputum"
"22","Klebsiella pneumoniae","Sputum","Cephalosporins (4th gen.)",1,0,0,"Cephalosporins (4th gen.)","Sputum"
"23","Klebsiella pneumoniae","Urine","Aminoglycosides",24,3,0.125,"Aminoglycosides","Urine"
"24","Klebsiella pneumoniae","Urine","Beta-lactams/penicillins",40,11,0.275,"Beta-lactams/penicillins","Urine"
"25","Klebsiella pneumoniae","Urine","Carbapenems",41,0,0,"Carbapenems","Urine"
"26","Klebsiella pneumoniae","Urine","Cephalosporins (1st gen.)",21,16,0.761904761904762,"Cephalosporins (1st gen.)","Urine"
"27","Klebsiella pneumoniae","Urine","Cephalosporins (3rd gen.)",45,27,0.6,"Cephalosporins (3rd gen.)","Urine"
"28","Klebsiella pneumoniae","Urine","Cephalosporins (4th gen.)",14,7,0.5,"Cephalosporins (4th gen.)","Urine"
"29","Klebsiella pneumoniae","Urine","Quinolones",43,24,0.558139534883721,"Quinolones","Urine"
