"","mo_organism","get(par_var_name)","ab","n","r","total_R","ab_name","var_name"
"1","Proteus","1-4","AMK",1,0,0,"Amikacin","1-4"
"2","Proteus","1-4","AMP",2,2,1,"Ampicillin","1-4"
"3","Proteus","1-4","CAZ",4,2,0.5,"Ceftazidime","1-4"
"4","Proteus","1-4","CIP",2,0,0,"Ciprofloxacin","1-4"
"5","Proteus","1-4","CRO",4,2,0.5,"Ceftriaxone","1-4"
"6","Proteus","1-4","CTX",4,2,0.5,"Cefotaxime","1-4"
"7","Proteus","1-4","CZO",2,2,1,"Cefazolin","1-4"
"8","Proteus","1-4","FEP",2,0,0,"Cefepime","1-4"
"9","Proteus","1-4","MEM",4,0,0,"Meropenem","1-4"
"10","Proteus","1-4","NAL",1,0,0,"Nalidixic acid","1-4"
"11","Proteus","1-4","NOR",4,0,0,"Norfloxacin","1-4"
"12","Proteus","1-4","TZP",6,3,0.5,"Piperacillin/tazobactam","1-4"
"13","Proteus","5-19","AMK",3,0,0,"Amikacin","5-19"
"14","Proteus","5-19","AMP",4,4,1,"Ampicillin","5-19"
"15","Proteus","5-19","CAZ",10,6,0.6,"Ceftazidime","5-19"
"16","Proteus","5-19","CRO",8,6,0.75,"Ceftriaxone","5-19"
"17","Proteus","5-19","CTX",6,6,1,"Cefotaxime","5-19"
"18","Proteus","5-19","FEP",6,2,0.333333333333333,"Cefepime","5-19"
"19","Proteus","5-19","MEM",8,2,0.25,"Meropenem","5-19"
"20","Proteus","5-19","NAL",3,1,0.333333333333333,"Nalidixic acid","5-19"
"21","Proteus","5-19","NOR",2,0,0,"Norfloxacin","5-19"
"22","Proteus","5-19","TZP",15,6,0.4,"Piperacillin/tazobactam","5-19"
"23","Proteus","20-49","AMK",2,2,1,"Amikacin","20-49"
"24","Proteus","20-49","AMP",4,4,1,"Ampicillin","20-49"
"25","Proteus","20-49","CAZ",2,2,1,"Ceftazidime","20-49"
"26","Proteus","20-49","CRO",6,6,1,"Ceftriaxone","20-49"
"27","Proteus","20-49","CTX",6,6,1,"Cefotaxime","20-49"
"28","Proteus","20-49","CZO",2,2,1,"Cefazolin","20-49"
"29","Proteus","20-49","ETP",2,2,1,"Ertapenem","20-49"
"30","Proteus","20-49","IPM",2,2,1,"Imipenem","20-49"
"31","Proteus","20-49","MEM",8,2,0.25,"Meropenem","20-49"
"32","Proteus","20-49","NAL",2,2,1,"Nalidixic acid","20-49"
"33","Proteus","20-49","NOR",4,4,1,"Norfloxacin","20-49"
"34","Proteus","20-49","TZP",6,0,0,"Piperacillin/tazobactam","20-49"
"35","Proteus","50-64","AMP",2,2,1,"Ampicillin","50-64"
"36","Proteus","50-64","CRO",2,2,1,"Ceftriaxone","50-64"
"37","Proteus","50-64","IPM",2,2,1,"Imipenem","50-64"
"38","Proteus","65+","AMK",2,0,0,"Amikacin","65+"
"39","Proteus","65+","AMP",2,2,1,"Ampicillin","65+"
"40","Proteus","65+","CRO",4,0,0,"Ceftriaxone","65+"
"41","Proteus","65+","CTX",6,0,0,"Cefotaxime","65+"
"42","Proteus","65+","FEP",4,2,0.5,"Cefepime","65+"
"43","Proteus","65+","IPM",2,0,0,"Imipenem","65+"
"44","Proteus","65+","MEM",4,0,0,"Meropenem","65+"
"45","Proteus","65+","TZP",3,0,0,"Piperacillin/tazobactam","65+"
