"","mo_organism","get(par_var_name)","ab_class","n","r","total_R","ab_name","var_name"
"1","Proteus","1-4","Aminoglycosides",1,0,0,"Aminoglycosides","1-4"
"2","Proteus","1-4","Beta-lactams/penicillins",2,1,0.5,"Beta-lactams/penicillins","1-4"
"3","Proteus","1-4","Carbapenems",2,0,0,"Carbapenems","1-4"
"4","Proteus","1-4","Cephalosporins (1st gen.)",1,1,1,"Cephalosporins (1st gen.)","1-4"
"5","Proteus","1-4","Cephalosporins (3rd gen.)",2,1,0.5,"Cephalosporins (3rd gen.)","1-4"
"6","Proteus","1-4","Cephalosporins (4th gen.)",1,0,0,"Cephalosporins (4th gen.)","1-4"
"7","Proteus","1-4","Quinolones",2,0,0,"Quinolones","1-4"
"8","Proteus","5-19","Aminoglycosides",3,0,0,"Aminoglycosides","5-19"
"9","Proteus","5-19","Beta-lactams/penicillins",5,3,0.6,"Beta-lactams/penicillins","5-19"
"10","Proteus","5-19","Carbapenems",4,1,0.25,"Carbapenems","5-19"
"11","Proteus","5-19","Cephalosporins (3rd gen.)",5,4,0.8,"Cephalosporins (3rd gen.)","5-19"
"12","Proteus","5-19","Cephalosporins (4th gen.)",3,1,0.333333333333333,"Cephalosporins (4th gen.)","5-19"
"13","Proteus","5-19","Quinolones",3,1,0.333333333333333,"Quinolones","5-19"
"14","Proteus","20-49","Aminoglycosides",2,2,1,"Aminoglycosides","20-49"
"15","Proteus","20-49","Beta-lactams/penicillins",2,2,1,"Beta-lactams/penicillins","20-49"
"16","Proteus","20-49","Carbapenems",4,2,0.5,"Carbapenems","20-49"
"17","Proteus","20-49","Cephalosporins (1st gen.)",1,1,1,"Cephalosporins (1st gen.)","20-49"
"18","Proteus","20-49","Cephalosporins (3rd gen.)",3,3,1,"Cephalosporins (3rd gen.)","20-49"
"19","Proteus","20-49","Quinolones",2,2,1,"Quinolones","20-49"
"20","Proteus","50-64","Beta-lactams/penicillins",1,1,1,"Beta-lactams/penicillins","50-64"
"21","Proteus","50-64","Carbapenems",1,1,1,"Carbapenems","50-64"
"22","Proteus","50-64","Cephalosporins (3rd gen.)",1,1,1,"Cephalosporins (3rd gen.)","50-64"
"23","Proteus","65+","Aminoglycosides",2,0,0,"Aminoglycosides","65+"
"24","Proteus","65+","Beta-lactams/penicillins",2,1,0.5,"Beta-lactams/penicillins","65+"
"25","Proteus","65+","Carbapenems",2,0,0,"Carbapenems","65+"
"26","Proteus","65+","Cephalosporins (3rd gen.)",3,0,0,"Cephalosporins (3rd gen.)","65+"
"27","Proteus","65+","Cephalosporins (4th gen.)",2,1,0.5,"Cephalosporins (4th gen.)","65+"
