"","mo_organism","get(par_var_name)","ab","n","r","total_R","ab_name","var_name"
"1","Proteus","F","AMK",2,1,0.5,"Amikacin","F"
"2","Proteus","F","AMP",4,4,1,"Ampicillin","F"
"3","Proteus","F","CAZ",6,4,0.666666666666667,"Ceftazidime","F"
"4","Proteus","F","CRO",6,6,1,"Ceftriaxone","F"
"5","Proteus","F","CTX",6,4,0.666666666666667,"Cefotaxime","F"
"6","Proteus","F","FEP",4,2,0.5,"Cefepime","F"
"7","Proteus","F","IPM",2,0,0,"Imipenem","F"
"8","Proteus","F","MEM",6,2,0.333333333333333,"Meropenem","F"
"9","Proteus","F","NAL",1,0,0,"Nalidixic acid","F"
"10","Proteus","F","TZP",12,3,0.25,"Piperacillin/tazobactam","F"
"11","Proteus","M","AMK",6,1,0.166666666666667,"Amikacin","M"
"12","Proteus","M","AMP",10,10,1,"Ampicillin","M"
"13","Proteus","M","CAZ",10,6,0.6,"Ceftazidime","M"
"14","Proteus","M","CIP",2,0,0,"Ciprofloxacin","M"
"15","Proteus","M","CRO",18,10,0.555555555555556,"Ceftriaxone","M"
"16","Proteus","M","CTX",16,10,0.625,"Cefotaxime","M"
"17","Proteus","M","CZO",4,4,1,"Cefazolin","M"
"18","Proteus","M","ETP",2,2,1,"Ertapenem","M"
"19","Proteus","M","FEP",8,2,0.25,"Cefepime","M"
"20","Proteus","M","IPM",4,4,1,"Imipenem","M"
"21","Proteus","M","MEM",18,2,0.111111111111111,"Meropenem","M"
"22","Proteus","M","NAL",5,3,0.6,"Nalidixic acid","M"
"23","Proteus","M","NOR",10,4,0.4,"Norfloxacin","M"
"24","Proteus","M","TZP",18,6,0.333333333333333,"Piperacillin/tazobactam","M"
