"","mo_organism","get(par_var_name)","ab","n","r","total_R","ab_name","var_name"
"1","Proteus","Blood","AMK",1,1,1,"Amikacin","Blood"
"2","Proteus","Blood","AMP",2,2,1,"Ampicillin","Blood"
"3","Proteus","Blood","CAZ",2,2,1,"Ceftazidime","Blood"
"4","Proteus","Blood","CRO",2,2,1,"Ceftriaxone","Blood"
"5","Proteus","Blood","CTX",2,2,1,"Cefotaxime","Blood"
"6","Proteus","Blood","MEM",2,0,0,"Meropenem","Blood"
"7","Proteus","Blood","TZP",3,0,0,"Piperacillin/tazobactam","Blood"
"8","Proteus","Other","AMK",3,1,0.333333333333333,"Amikacin","Other"
"9","Proteus","Other","AMP",2,2,1,"Ampicillin","Other"
"10","Proteus","Other","CRO",4,0,0,"Ceftriaxone","Other"
"11","Proteus","Other","CTX",4,0,0,"Cefotaxime","Other"
"12","Proteus","Other","ETP",2,2,1,"Ertapenem","Other"
"13","Proteus","Other","FEP",2,0,0,"Cefepime","Other"
"14","Proteus","Other","IPM",2,2,1,"Imipenem","Other"
"15","Proteus","Other","MEM",4,0,0,"Meropenem","Other"
"16","Proteus","Pus","AMK",1,0,0,"Amikacin","Pus"
"17","Proteus","Pus","AMP",4,4,1,"Ampicillin","Pus"
"18","Proteus","Pus","CAZ",2,2,1,"Ceftazidime","Pus"
"19","Proteus","Pus","CRO",4,4,1,"Ceftriaxone","Pus"
"20","Proteus","Pus","CTX",4,2,0.5,"Cefotaxime","Pus"
"21","Proteus","Pus","FEP",4,2,0.5,"Cefepime","Pus"
"22","Proteus","Pus","IPM",4,2,0.5,"Imipenem","Pus"
"23","Proteus","Pus","MEM",4,0,0,"Meropenem","Pus"
"24","Proteus","Pus","TZP",6,0,0,"Piperacillin/tazobactam","Pus"
"25","Proteus","Urine","AMK",3,0,0,"Amikacin","Urine"
"26","Proteus","Urine","AMP",6,6,1,"Ampicillin","Urine"
"27","Proteus","Urine","CAZ",12,6,0.5,"Ceftazidime","Urine"
"28","Proteus","Urine","CIP",2,0,0,"Ciprofloxacin","Urine"
"29","Proteus","Urine","CRO",14,10,0.714285714285714,"Ceftriaxone","Urine"
"30","Proteus","Urine","CTX",12,10,0.833333333333333,"Cefotaxime","Urine"
"31","Proteus","Urine","CZO",4,4,1,"Cefazolin","Urine"
"32","Proteus","Urine","FEP",6,2,0.333333333333333,"Cefepime","Urine"
"33","Proteus","Urine","MEM",14,4,0.285714285714286,"Meropenem","Urine"
"34","Proteus","Urine","NAL",6,3,0.5,"Nalidixic acid","Urine"
"35","Proteus","Urine","NOR",10,4,0.4,"Norfloxacin","Urine"
"36","Proteus","Urine","TZP",21,9,0.428571428571429,"Piperacillin/tazobactam","Urine"
