"","mo_organism","get(par_var_name)","ab_class","n","r","total_R","ab_name","var_name"
"1","Proteus","Blood","Aminoglycosides",1,1,1,"Aminoglycosides","Blood"
"2","Proteus","Blood","Beta-lactams/penicillins",1,1,1,"Beta-lactams/penicillins","Blood"
"3","Proteus","Blood","Carbapenems",1,0,0,"Carbapenems","Blood"
"4","Proteus","Blood","Cephalosporins (3rd gen.)",1,1,1,"Cephalosporins (3rd gen.)","Blood"
"5","Proteus","Other","Aminoglycosides",3,1,0.333333333333333,"Aminoglycosides","Other"
"6","Proteus","Other","Beta-lactams/penicillins",1,1,1,"Beta-lactams/penicillins","Other"
"7","Proteus","Other","Carbapenems",2,1,0.5,"Carbapenems","Other"
"8","Proteus","Other","Cephalosporins (3rd gen.)",2,0,0,"Cephalosporins (3rd gen.)","Other"
"9","Proteus","Other","Cephalosporins (4th gen.)",1,0,0,"Cephalosporins (4th gen.)","Other"
"10","Proteus","Pus","Aminoglycosides",1,0,0,"Aminoglycosides","Pus"
"11","Proteus","Pus","Beta-lactams/penicillins",3,2,0.666666666666667,"Beta-lactams/penicillins","Pus"
"12","Proteus","Pus","Carbapenems",3,1,0.333333333333333,"Carbapenems","Pus"
"13","Proteus","Pus","Cephalosporins (3rd gen.)",3,2,0.666666666666667,"Cephalosporins (3rd gen.)","Pus"
"14","Proteus","Pus","Cephalosporins (4th gen.)",2,1,0.5,"Cephalosporins (4th gen.)","Pus"
"15","Proteus","Urine","Aminoglycosides",3,0,0,"Aminoglycosides","Urine"
"16","Proteus","Urine","Beta-lactams/penicillins",7,4,0.571428571428571,"Beta-lactams/penicillins","Urine"
"17","Proteus","Urine","Carbapenems",7,2,0.285714285714286,"Carbapenems","Urine"
"18","Proteus","Urine","Cephalosporins (1st gen.)",2,2,1,"Cephalosporins (1st gen.)","Urine"
"19","Proteus","Urine","Cephalosporins (3rd gen.)",8,6,0.75,"Cephalosporins (3rd gen.)","Urine"
"20","Proteus","Urine","Cephalosporins (4th gen.)",3,1,0.333333333333333,"Cephalosporins (4th gen.)","Urine"
"21","Proteus","Urine","Quinolones",7,3,0.428571428571429,"Quinolones","Urine"
