"","mo_organism","get(par_var_name)","ab","n","r","total_R","ab_name","var_name"
"1","Staphylococcus aureus","Blood","AZM",1,1,1,"Azithromycin","Blood"
"2","Staphylococcus aureus","Blood","CHL",1,1,1,"Chloramphenicol","Blood"
"3","Staphylococcus aureus","Blood","CLI",1,0,0,"Clindamycin","Blood"
"4","Staphylococcus aureus","Blood","LNZ",2,1,0.5,"Linezolid","Blood"
"5","Staphylococcus aureus","Genital","CLI",1,1,1,"Clindamycin","Genital"
"6","Staphylococcus aureus","Other","AZM",1,0,0,"Azithromycin","Other"
"7","Staphylococcus aureus","Other","CHL",2,0,0,"Chloramphenicol","Other"
"8","Staphylococcus aureus","Other","CLI",3,0,0,"Clindamycin","Other"
"9","Staphylococcus aureus","Other","LNZ",3,0,0,"Linezolid","Other"
"10","Staphylococcus aureus","Pus","AZM",2,1,0.5,"Azithromycin","Pus"
"11","Staphylococcus aureus","Pus","CHL",2,0,0,"Chloramphenicol","Pus"
"12","Staphylococcus aureus","Pus","CLI",12,1,0.0833333333333333,"Clindamycin","Pus"
"13","Staphylococcus aureus","Pus","LNZ",12,1,0.0833333333333333,"Linezolid","Pus"
"14","Staphylococcus aureus","Urine","CLI",2,0,0,"Clindamycin","Urine"
"15","Staphylococcus aureus","Urine","LNZ",2,0,0,"Linezolid","Urine"
"16","Staphylococcus aureus","Urine","NIT",3,0,0,"Nitrofurantoin","Urine"
"17","Staphylococcus aureus","Urine","NOR",4,0,0,"Norfloxacin","Urine"
