"","mo_organism","get(par_var_name)","ab","n","r","total_R","ab_name","var_name"
"1","Staphylococcus aureus","1-4","AZM",1,0,0,"Azithromycin","1-4"
"2","Staphylococcus aureus","1-4","CHL",2,0,0,"Chloramphenicol","1-4"
"3","Staphylococcus aureus","1-4","CLI",3,0,0,"Clindamycin","1-4"
"4","Staphylococcus aureus","1-4","LNZ",4,0,0,"Linezolid","1-4"
"5","Staphylococcus aureus","5-19","CLI",6,0,0,"Clindamycin","5-19"
"6","Staphylococcus aureus","5-19","LNZ",5,0,0,"Linezolid","5-19"
"7","Staphylococcus aureus","5-19","NIT",2,0,0,"Nitrofurantoin","5-19"
"8","Staphylococcus aureus","5-19","NOR",4,0,0,"Norfloxacin","5-19"
"9","Staphylococcus aureus","20-49","AZM",3,2,0.666666666666667,"Azithromycin","20-49"
"10","Staphylococcus aureus","20-49","CHL",3,1,0.333333333333333,"Chloramphenicol","20-49"
"11","Staphylococcus aureus","20-49","CLI",8,2,0.25,"Clindamycin","20-49"
"12","Staphylococcus aureus","20-49","LNZ",8,2,0.25,"Linezolid","20-49"
"13","Staphylococcus aureus","20-49","NIT",1,0,0,"Nitrofurantoin","20-49"
"14","Staphylococcus aureus","50-64","CLI",1,0,0,"Clindamycin","50-64"
"15","Staphylococcus aureus","50-64","LNZ",1,0,0,"Linezolid","50-64"
"16","Staphylococcus aureus","65+","CLI",1,0,0,"Clindamycin","65+"
"17","Staphylococcus aureus","65+","LNZ",1,0,0,"Linezolid","65+"
