"","mo_organism","get(par_var_name)","ab","n","r","total_R","ab_name","var_name"
"1","Staphylococcus aureus","F","AZM",1,0,0,"Azithromycin","F"
"2","Staphylococcus aureus","F","CHL",2,0,0,"Chloramphenicol","F"
"3","Staphylococcus aureus","F","CLI",7,0,0,"Clindamycin","F"
"4","Staphylococcus aureus","F","LNZ",7,0,0,"Linezolid","F"
"5","Staphylococcus aureus","M","AZM",3,2,0.666666666666667,"Azithromycin","M"
"6","Staphylococcus aureus","M","CHL",3,1,0.333333333333333,"Chloramphenicol","M"
"7","Staphylococcus aureus","M","CLI",12,2,0.166666666666667,"Clindamycin","M"
"8","Staphylococcus aureus","M","LNZ",12,2,0.166666666666667,"Linezolid","M"
"9","Staphylococcus aureus","M","NIT",3,0,0,"Nitrofurantoin","M"
"10","Staphylococcus aureus","M","NOR",4,0,0,"Norfloxacin","M"
