"","mo_organism","get(par_var_name)","ab_class","n","r","total_R","ab_name","var_name"
"1","Streptococcus pyogenes","20-49","Beta-lactams/penicillins",1,0,0,"Beta-lactams/penicillins","20-49"
"2","Streptococcus pyogenes","20-49","Cephalosporins (3rd gen.)",1,1,1,"Cephalosporins (3rd gen.)","20-49"
"3","Streptococcus pyogenes","20-49","Glycopeptides",1,0,0,"Glycopeptides","20-49"
"4","Streptococcus pyogenes","20-49","Macrolides/lincosamides",1,0,0,"Macrolides/lincosamides","20-49"
"5","Streptococcus pyogenes","20-49","Oxazolidinones",1,0,0,"Oxazolidinones","20-49"
"6","Streptococcus pyogenes","50-64","Beta-lactams/penicillins",1,0,0,"Beta-lactams/penicillins","50-64"
"7","Streptococcus pyogenes","50-64","Glycopeptides",1,0,0,"Glycopeptides","50-64"
"8","Streptococcus pyogenes","50-64","Macrolides/lincosamides",1,0,0,"Macrolides/lincosamides","50-64"
"9","Streptococcus pyogenes","65+","Cephalosporins (3rd gen.)",1,0,0,"Cephalosporins (3rd gen.)","65+"
"10","Streptococcus pyogenes","65+","Oxazolidinones",1,0,0,"Oxazolidinones","65+"
