"","mo_organism","get(par_var_name)","ab","n","r","total_R","ab_name","var_name"
"1","Streptococcus pyogenes","F","AMP",2,0,0,"Ampicillin","F"
"2","Streptococcus pyogenes","F","AZM",1,0,0,"Azithromycin","F"
"3","Streptococcus pyogenes","F","CLI",2,0,0,"Clindamycin","F"
"4","Streptococcus pyogenes","F","CRO",2,2,1,"Ceftriaxone","F"
"5","Streptococcus pyogenes","F","CTX",2,0,0,"Cefotaxime","F"
"6","Streptococcus pyogenes","F","LNZ",2,0,0,"Linezolid","F"
"7","Streptococcus pyogenes","F","VAN",1,0,0,"Vancomycin","F"
"8","Streptococcus pyogenes","M","AMP",2,0,0,"Ampicillin","M"
"9","Streptococcus pyogenes","M","AZM",1,0,0,"Azithromycin","M"
"10","Streptococcus pyogenes","M","CLI",1,0,0,"Clindamycin","M"
"11","Streptococcus pyogenes","M","VAN",1,0,0,"Vancomycin","M"
