"","mo_organism","get(par_var_name)","ab","n","r","total_R","ab_name","var_name"
"1","Citrobacter","f","CAZ",2,0,0,"Ceftazidime","f"
"2","Citrobacter","f","CIP",2,0,0,"Ciprofloxacin","f"
"3","Citrobacter","f","CRO",2,2,1,"Ceftriaxone","f"
"4","Citrobacter","f","GEN",1,0,0,"Gentamicin","f"
"5","Citrobacter","f","MEM",2,0,0,"Meropenem","f"
"6","Citrobacter","m","CAZ",4,0,0,"Ceftazidime","m"
"7","Citrobacter","m","CIP",4,0,0,"Ciprofloxacin","m"
"8","Citrobacter","m","CRO",4,0,0,"Ceftriaxone","m"
"9","Citrobacter","m","GEN",2,0,0,"Gentamicin","m"
"10","Citrobacter","m","MEM",4,0,0,"Meropenem","m"
